air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
27.2,72.4,816,453,62,-90,10.21 22:30,10.22 8:00
27.4,76.4,817.6,471.8,61,-89,10.21 22:35,10.22 8:05
27.4,81.2,815.4,489.8,60,-88.2,10.21 22:40,10.22 8:10
28,109,734.6,489.4,59,-88,10.21 22:45,10.22 8:15
28.2,110,747.2,510,58,-87.2,10.21 22:50,10.22 8:20
28.2,112.4,755.2,528.8,56.8,-87,10.21 22:55,10.22 8:25
28.6,107.4,783.8,553.2,55,-86.2,10.21 23:00,10.22 8:30
28.8,122.2,749.2,560.2,54,-86,10.21 23:05,10.22 8:35
28.8,120,770.2,582.6,53,-85.2,10.21 23:10,10.22 8:40
28.8,111.2,809.2,610,52,-85,10.21 23:15,10.22 8:45
29.2,110.4,821,629.4,51,-84,10.21 23:20,10.22 8:50
29.2,83.6,898.8,665.4,50,-83.2,10.21 23:25,10.22 8:55
29.4,84.8,903.8,683.4,48.8,-83,10.21 23:30,10.22 9:00
29.4,85.6,908.6,700.6,47,-82.2,10.21 23:35,10.22 9:05
29.4,86.6,913,718,46,-82,10.21 23:40,10.22 9:10
29.4,87.6,917.2,734.6,45,-81,10.21 23:45,10.22 9:15
29.6,97.6,900.8,745.6,44,-80.2,10.21 23:50,10.22 9:20
29.6,131.2,829.2,739.2,43,-79.2,10.21 23:55,10.22 9:25
29.8,162.2,750.2,722.4,42,-79,10.22 00:00,10.22 9:30
30,166.2,746.4,733.2,40.8,-78,10.22 00:05,10.22 9:35
30.2,143.2,823.6,779,39.8,-77.2,10.22 00:10,10.22 9:40
30.2,109.4,904.8,819,38,-76.2,10.22 00:15,10.22 9:45
30.4,103.6,921.6,837.8,37,-75.2,10.22 00:20,10.22 9:50
30.6,94.2,945.2,857.6,36,-75,10.22 00:25,10.22 9:55
30.6,95,948,871,35,-74,10.22 00:30,10.22 10:00
30.8,95,950.8,884.4,34,-73,10.22 00:35,10.22 10:05
31.2,95.6,953.6,896.8,33,-72,10.22 00:40,10.22 10:10
31.2,96.2,956.2,909.4,32,-71,10.22 00:45,10.22 10:15
31.2,96.6,958.8,921.2,31,-69.2,10.22 00:50,10.22 10:20
31.4,97.2,961.2,932.4,29.8,-68.2,10.22 00:55,10.22 10:25
31.8,100.2,958,942,28.8,-67.2,10.22 01:00,10.22 10:30
31.6,103,955.6,950.8,27.8,-66,10.22 01:05,10.22 10:35
31.6,115.4,937,953.8,26.8,-64.2,10.22 01:10,10.22 10:40
31.6,134.4,904.8,951.4,25,-63,10.22 01:15,10.22 10:45
31.8,118.8,935.4,970.6,24,-61.2,10.22 01:20,10.22 10:50
32,116,943.2,981.4,23,-59.2,10.22 01:25,10.22 10:55
32,130.6,919.8,980.4,22.8,-57.2,10.22 01:30,10.22 11:00
32.4,133.4,916.8,986.4,21.8,-55.2,10.22 01:35,10.22 11:05
32.4,112.4,955.4,1007,20.8,-53.2,10.22 01:40,10.22 11:10
32.2,102.2,974.2,1019.6,19.8,-50.2,10.22 01:45,10.22 11:15
32.2,101.8,976.4,1026.2,19,-48,10.22 01:50,10.22 11:20
32.4,101.6,978.4,1032,18,-45.2,10.22 01:55,10.22 11:25
32.4,108.2,968.6,1033.4,17,-42,10.22 02:00,10.22 11:30
32.8,101.4,980.8,1042.2,16.8,-38.2,10.22 02:05,10.22 11:35
33,101.6,981.6,1046,16,-35,10.22 02:10,10.22 11:40
33,101.8,982.2,1049.6,15,-31,10.22 02:15,10.22 11:45
33,101.8,982.4,1052.6,14.8,-26.2,10.22 02:20,10.22 11:50
33.2,101.8,982.6,1055,14,-22,10.22 02:25,10.22 11:55
33.2,101.8,983.2,1057.2,13.8,-17,10.22 02:30,10.22 12:00
33.4,101.6,984,1058.4,13.8,-12,10.22 02:35,10.22 12:05
33.4,101.2,984.6,1059.4,13,-7,10.22 02:40,10.22 12:10
33.6,100.6,985.2,1059.8,13,-1,10.22 02:45,10.22 12:15
33.6,115.2,961.4,1051.2,13,4,10.22 02:50,10.22 12:20
33.6,139.6,920.4,1034.8,13,9.2,10.22 02:55,10.22 12:25
33.8,125.4,943.6,1042.8,13.8,14.2,10.22 03:00,10.22 12:30
34,114.4,961,1047.6,14,19.2,10.22 03:05,10.22 12:35
34,99.6,984.8,1053.8,14,24.2,10.22 03:10,10.22 12:40
34,98.4,986.2,1051.4,15,28.2,10.22 03:15,10.22 12:45
34.2,110.6,964.8,1040.8,15,33,10.22 03:20,10.22 12:50
34.2,139.4,914.4,1018,16,36.2,10.22 03:25,10.22 12:55
34.4,169.2,856,989,17,40.2,10.22 03:30,10.22 13:00
34.4,162.4,785.2,911.4,17.8,43.2,10.22 03:35,10.22 13:05
34.6,195.6,784.2,940,18,46.2,10.22 03:40,10.22 13:10
34.6,146.8,894.2,991.2,19,49.2,10.22 03:45,10.22 13:15
34.8,112,954.4,1008.2,20,52,10.22 03:50,10.22 13:20
34.8,99.2,973.8,1008.6,21,54.2,10.22 03:55,10.22 13:25
35,96.2,977,1003,22,56.2,10.22 04:00,10.22 13:30
34.8,96.2,975.6,995,23,58.2,10.22 04:05,10.22 13:35
34.8,137.6,899.2,959.8,24,60.2,10.22 04:10,10.22 13:40
34.8,151.4,869.2,940.2,25,62,10.22 04:15,10.22 13:45
34.8,122.4,922,951.8,26,63.2,10.22 04:20,10.22 13:50
34.6,105.2,950.2,952.2,27,65.2,10.22 04:25,10.22 13:55
34.6,96,964,947.2,28,66.2,10.22 04:30,10.22 14:00
34.6,94.6,963.2,936.8,29,68,10.22 04:35,10.22 14:05
34.6,100.6,949.8,922.2,30,69,10.22 04:40,10.22 14:10
34.4,120.6,907.8,897.6,31,70.2,10.22 04:45,10.22 14:15
34.4,157,830.8,859.4,32,71.2,10.22 04:50,10.22 14:20
34.4,214.2,691.2,791.8,33,72.2,10.22 04:55,10.22 14:25
34.4,225.8,679,786,34,73.2,10.22 05:00,10.22 14:30
34.4,179,771.4,806.8,35.8,74.2,10.22 05:05,10.22 14:35
34.4,134.6,857.6,823.2,37,75.2,10.22 05:10,10.22 14:40
