air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
28.2,94,710.6,424.8,62,-91,10.21 22:30,10.22 8:00
28.6,99,708.2,441.6,61,-90.2,10.21 22:35,10.22 8:05
28.6,100.6,720.2,461.4,60,-90,10.21 22:40,10.22 8:10
28.8,101.4,732.4,481.6,59,-89.2,10.21 22:45,10.22 8:15
29.2,101.2,748.8,502.8,57.8,-89,10.21 22:50,10.22 8:20
29.6,99.8,766.8,524.2,56,-88.2,10.21 22:55,10.22 8:25
29.6,95,794,547.6,55,-88,10.21 23:00,10.22 8:30
29.8,91,816.8,569.8,54,-87.2,10.21 23:05,10.22 8:35
30,98,807.8,584.6,53,-87,10.21 23:10,10.22 8:40
30,102.4,805.4,600.8,52,-86.2,10.21 23:15,10.22 8:45
30,81.8,867.2,632.6,50.8,-86,10.21 23:20,10.22 8:50
30,82.4,874,650.8,49,-85.2,10.21 23:25,10.22 8:55
30.2,118.2,791.8,644.8,48,-85,10.21 23:30,10.22 9:00
30.2,143.6,724.6,636.6,47,-84.2,10.21 23:35,10.22 9:05
30.8,112.4,824,685.2,46,-84,10.21 23:40,10.22 9:10
30.8,85.6,893.4,719.6,45,-83,10.21 23:45,10.22 9:15
30.8,86.2,897.6,735.8,44,-82.2,10.21 23:50,10.22 9:20
30.8,87.2,902,751.8,42.8,-82,10.21 23:55,10.22 9:25
30.8,87.8,906.2,768.4,41,-81.2,10.22 00:00,10.22 9:30
31,88.6,909.8,783.8,40,-80.2,10.22 00:05,10.22 9:35
31.6,89,913.4,798.6,39,-80,10.22 00:10,10.22 9:40
31.8,89.8,916.6,813.4,38,-79.2,10.22 00:15,10.22 9:45
31.8,90.2,919.8,827.4,37,-78.2,10.22 00:20,10.22 9:50
32,109.8,885.6,830,35.8,-77.2,10.22 00:25,10.22 9:55
32.4,91.6,925.4,854.6,34,-77,10.22 00:30,10.22 10:00
32.6,92.2,928,867.6,33,-76,10.22 00:35,10.22 10:05
32.8,93,930.4,880.2,32,-75,10.22 00:40,10.22 10:10
33,105.4,911,885.4,31,-74.2,10.22 00:45,10.22 10:15
33.2,110.8,903.4,893.8,30,-73.2,10.22 00:50,10.22 10:20
33.4,116.2,897.2,902,29,-72,10.22 00:55,10.22 10:25
33.4,117.4,899,912.6,28,-71,10.22 01:00,10.22 10:30
33.6,117,902.6,923.4,27,-69.2,10.22 01:05,10.22 10:35
33.8,104.8,926.6,941,25.8,-68.2,10.22 01:10,10.22 10:40
34,96.4,944.4,955.4,24.8,-67,10.22 01:15,10.22 10:45
34.2,109.8,923.4,957,23,-65.2,10.22 01:20,10.22 10:50
34.2,122.6,902.8,957.6,22,-64,10.22 01:25,10.22 10:55
34.4,119.8,910.2,967.4,21,-62.2,10.22 01:30,10.22 11:00
34.4,115.6,919.2,977.6,20,-60.2,10.22 01:35,10.22 11:05
34.6,102.4,943.8,992.8,19,-58.2,10.22 01:40,10.22 11:10
34.6,98.4,952.6,1002,18,-55.2,10.22 01:45,10.22 11:15
34.8,106.6,940.4,1003.4,17,-53.2,10.22 01:50,10.22 11:20
34.8,118.2,921.6,1001.8,16.8,-50.2,10.22 01:55,10.22 11:25
35.2,102.4,949.2,1016.4,15.8,-47.2,10.22 02:00,10.22 11:30
35.2,98.6,956,1023,15,-43.2,10.22 02:05,10.22 11:35
35.2,123,916.8,1012.6,14,-40,10.22 02:10,10.22 11:40
35.4,152,867,995.6,13,-35.2,10.22 02:15,10.22 11:45
35.4,172,830,981.4,12.8,-31,10.22 02:20,10.22 11:50
35.4,188.6,793.8,964,12,-26,10.22 02:25,10.22 11:55
