air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
23.92,127.4,630.4,427.2,61.8,-86.2,10.21 22:30,10.22 8:00
24.04,128.2,655.6,450.8,60.8,-86,10.21 22:35,10.22 8:05
24.14,118,645.6,446.2,59,-85,10.21 22:40,10.22 8:10
24.26,122.6,652.2,465,58,-84.2,10.21 22:45,10.22 8:15
24.4,123.8,658.8,480,57,-84,10.21 22:50,10.22 8:20
24.5,102.2,664.8,472.2,56,-83,10.21 22:55,10.22 8:25
24.68,109.2,670.6,492.8,55,-82.2,10.21 23:00,10.22 8:30
24.94,143.8,676.4,541.2,54,-82,10.21 23:05,10.22 8:35
25.18,121.2,795.2,600.6,53,-81,10.21 23:10,10.22 8:40
25.4,143,741.8,601.2,52,-80,10.21 23:15,10.22 8:45
25.68,154.6,691.4,591.6,51,-79.2,10.21 23:20,10.22 8:50
25.92,157.2,721.2,623.8,50,-79,10.21 23:25,10.22 8:55
26.14,126,824,670.6,48.8,-78,10.21 23:30,10.22 9:00
26.38,109,874.4,699,47.8,-77,10.21 23:35,10.22 9:05
26.66,110.4,879.2,715.4,46.8,-76,10.21 23:40,10.22 9:10
26.88,111.6,883.8,731.4,45,-75.2,10.21 23:45,10.22 9:15
27.12,137.2,831.6,731.6,44,-74.2,10.21 23:50,10.22 9:20
27.38,184.2,733.2,717,43,-73.2,10.21 23:55,10.22 9:25
27.6,164.6,786,746.4,42,-72.2,10.22 00:00,10.22 9:30
27.76,168,786.8,759.4,41,-71.2,10.22 00:05,10.22 9:35
27.94,118.2,901.6,807,40,-70.2,10.22 00:10,10.22 9:40
28.16,118,907.6,821.8,39,-69.2,10.22 00:15,10.22 9:45
28.32,118.8,911.2,835.2,38,-68.2,10.22 00:20,10.22 9:50
28.5,119.6,914.2,848.8,37,-67.2,10.22 00:25,10.22 9:55
28.66,120.6,917.2,861.4,36,-66,10.22 00:30,10.22 10:00
28.84,143.2,876.2,860.2,35,-65,10.22 00:35,10.22 10:05
29,145.4,877.2,871.4,34,-63.2,10.22 00:40,10.22 10:10
29.22,170.6,831.6,867,33,-62,10.22 00:45,10.22 10:15
29.4,191.6,784.8,855.8,32,-61,10.22 00:50,10.22 10:20
29.56,182,813.6,877.2,31,-59.2,10.22 00:55,10.22 10:25
29.76,186.4,810.6,886.2,30,-58,10.22 01:00,10.22 10:30
29.88,170,851.2,911.6,29,-56,10.22 01:05,10.22 10:35
30.02,130.4,928.2,946,28.8,-54.2,10.22 01:10,10.22 10:40
30.16,125.8,939.2,958,27.8,-52.2,10.22 01:15,10.22 10:45
30.28,126.6,940.6,966.2,27,-50.2,10.22 01:20,10.22 10:50
30.42,126.8,942.6,974.2,26,-48.2,10.22 01:25,10.22 10:55
30.6,127.4,943.8,981.8,25,-46.2,10.22 01:30,10.22 11:00
30.74,127.8,945.2,988.8,24,-44,10.22 01:35,10.22 11:05
30.86,128.2,946.4,995.4,23.8,-42,10.22 01:40,10.22 11:10
31,133,940.2,999,23,-39,10.22 01:45,10.22 11:15
31.14,135.8,936.8,1003,22,-36.2,10.22 01:50,10.22 11:20
31.26,139,933,1006.6,21.8,-33.2,10.22 01:55,10.22 11:25
31.42,138.8,934.6,1011,21,-31,10.22 02:00,10.22 11:30
31.54,145.2,924.8,1011.6,20.8,-27.2,10.22 02:05,10.22 11:35
31.68,130.4,951.4,1024.2,20,-24,10.22 02:10,10.22 11:40
31.8,132.4,948.6,1026.2,19.8,-21,10.22 02:15,10.22 11:45
31.92,132.4,949.4,1028.8,19,-17,10.22 02:20,10.22 11:50
32.04,132.8,949.8,1030.8,19,-14,10.22 02:25,10.22 11:55
32.18,149,922.8,1022.8,18.8,-10,10.22 02:30,10.22 12:00
32.3,166.4,893,1012.4,18.8,-6,10.22 02:35,10.22 12:05
32.42,155.6,911.8,1020.2,18.8,-2,10.22 02:40,10.22 12:10
32.54,144.6,930.6,1027.4,18.8,2,10.22 02:45,10.22 12:15
32.68,135,947.4,1032.6,18.8,5.2,10.22 02:50,10.22 12:20
32.8,134.2,948.4,1032.2,18.8,9.2,10.22 02:55,10.22 12:25
32.92,151.6,917.8,1020,19,13,10.22 03:00,10.22 12:30
33.02,168.2,887.2,1006.4,19,17,10.22 03:05,10.22 12:35
33.12,148.2,922,1017,19.8,20.2,10.22 03:10,10.22 12:40
33.24,135.6,942.4,1021.4,20,24,10.22 03:15,10.22 12:45
33.32,163.2,893,1000.4,20,27,10.22 03:20,10.22 12:50
33.46,189,843.4,976.2,21,30.2,10.22 03:25,10.22 12:55
33.54,204,808.2,955.8,21.8,33.2,10.22 03:30,10.22 13:00
33.68,212.8,783.6,938.6,22,36.2,10.22 03:35,10.22 13:05
33.76,176.2,861,969.6,23,39,10.22 03:40,10.22 13:10
33.88,136.2,931.8,990.6,23.8,41.2,10.22 03:45,10.22 13:15
33.98,210.6,790,930.6,24,44,10.22 03:50,10.22 13:20
34.1,241.8,694,870.4,25,46.2,10.22 03:55,10.22 13:25
34.14,212,725,864.2,26,48.2,10.22 04:00,10.22 13:30
34.18,212,705.6,842.4,26.8,50.2,10.22 04:05,10.22 13:35
34.18,229.8,701.2,851.6,27.8,52.2,10.22 04:10,10.22 13:40
34.2,207.4,764,879.2,28,54.2,10.22 04:15,10.22 13:45
34.2,252,679.8,844.6,29,56,10.22 04:20,10.22 13:50
34.24,187,810.6,887.4,30,57.2,10.22 04:25,10.22 13:55
34.28,255.4,657,817.4,31,59.2,10.22 04:30,10.22 14:00
34.32,268,615.4,789.6,32,60.2,10.22 04:35,10.22 14:05
34.32,220,582,707.8,33,62,10.22 04:40,10.22 14:10
34.34,231.4,561.6,697,34,63.2,10.22 04:45,10.22 14:15
34.34,197,559.4,655.2,35,65,10.22 04:50,10.22 14:20
34.38,171.8,557.2,622.8,36,66,10.22 04:55,10.22 14:25
34.36,142,555.2,585.4,37,67.2,10.22 05:00,10.22 14:30
34.32,120.4,552.8,556,38,68.2,10.22 05:05,10.22 14:35
34.32,117.6,550.6,545.4,39,69.2,10.22 05:10,10.22 14:40
