air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
30.4,102.4,660.2,403.6,63,-93.2,10.21 22:30,10.22 8:00
30.6,96.4,702.2,429.6,62,-93,10.21 22:35,10.22 8:05
30.6,98.2,713.2,450,60,-93,10.21 22:40,10.22 8:10
31,100.2,724.2,470.2,59,-92.2,10.21 22:45,10.22 8:15
31,101.8,734.4,490.4,58,-92,10.21 22:50,10.22 8:20
31.2,103.4,744,510,57,-92,10.21 22:55,10.22 8:25
31.4,105,753,529.8,56,-91.2,10.21 23:00,10.22 8:30
31.6,114.2,740.4,544.4,54,-91,10.21 23:05,10.22 8:35
31.6,111.4,760.8,566.4,53,-91,10.21 23:10,10.22 8:40
31.6,109.6,777.2,587.4,52,-90.2,10.21 23:15,10.22 8:45
31.6,111,784.6,606.2,51,-90,10.21 23:20,10.22 8:50
31.6,112.4,791.6,624.6,50,-90,10.21 23:25,10.22 8:55
31.6,113.8,798,642.8,48.8,-89.2,10.21 23:30,10.22 9:00
32,115.4,803.4,660.4,47,-89,10.21 23:35,10.22 9:05
32,117.2,808.4,678,46,-88.2,10.21 23:40,10.22 9:10
32,118.6,813.4,695,45,-88.2,10.21 23:45,10.22 9:15
32,120,818.2,711.8,44,-88,10.21 23:50,10.22 9:20
32,126,813.2,725.6,42.8,-87.2,10.21 23:55,10.22 9:25
32,131.6,808.4,739.8,41,-87,10.22 00:00,10.22 9:30
32.6,136.8,804.8,753,40,-86.2,10.22 00:05,10.22 9:35
32.8,135.6,815,770.2,39,-86,10.22 00:10,10.22 9:40
32.8,132.6,827.6,787.8,38,-85.2,10.22 00:15,10.22 9:45
32.8,128.4,842.4,805.6,36.8,-85.2,10.22 00:20,10.22 9:50
33.4,129.8,845.8,819.8,35,-84.2,10.22 00:25,10.22 9:55
33.6,130.6,849,833.6,34,-84.2,10.22 00:30,10.22 10:00
33.6,131.4,852.6,847.2,33,-83.2,10.22 00:35,10.22 10:05
33.8,132,856,860.4,32,-83,10.22 00:40,10.22 10:10
33.8,133,859.6,872.8,30.8,-82.2,10.22 00:45,10.22 10:15
34.4,133.2,862.6,885,29,-82,10.22 00:50,10.22 10:20
34.4,134,865.2,896.8,28,-81.2,10.22 00:55,10.22 10:25
34.6,139.2,859.4,905.2,27,-80.2,10.22 01:00,10.22 10:30
34.8,151.2,842,909,26,-79.2,10.22 01:05,10.22 10:35
34.8,142.6,861,925,25,-78.2,10.22 01:10,10.22 10:40
34.8,135.8,875.8,939.4,23,-78,10.22 01:15,10.22 10:45
34.8,148.8,856,941,22,-77,10.22 01:20,10.22 10:50
35.4,161.8,835.8,941.4,21,-76,10.22 01:25,10.22 10:55
35.6,158.2,845.4,952.8,20,-74.2,10.22 01:30,10.22 11:00
35.6,154.8,853.8,963,19,-73.2,10.22 01:35,10.22 11:05
35.6,158,851,968.6,18,-72.2,10.22 01:40,10.22 11:10
36,159.6,850.8,975.2,16.8,-70.2,10.22 01:45,10.22 11:15
36,145,877.8,991,15,-68.2,10.22 01:50,10.22 11:20
36.2,147.4,875,995.4,14,-66.2,10.22 01:55,10.22 11:25
36.2,140.6,888.2,1005.4,13,-64.2,10.22 02:00,10.22 11:30
36.2,141.2,888.8,1010,12,-61.2,10.22 02:05,10.22 11:35
36.4,141.8,889.2,1014.2,11,-57.4,10.22 02:10,10.22 11:40
36.4,142.2,889.8,1018.2,10,-53.4,10.22 02:15,10.22 11:45
36.4,142.6,890,1021,9,-49.2,10.22 02:20,10.22 11:50
36.4,153.8,872.4,1017.2,8,-43.2,10.22 02:25,10.22 11:55
36.6,155.2,870.8,1018.6,7.8,-36.2,10.22 02:30,10.22 12:00
36.6,156.6,869.2,1019.2,7,-28.2,10.22 02:35,10.22 12:05
36.6,157.8,867,1019.6,6.8,-18.2,10.22 02:40,10.22 12:10
36.8,170.2,847.4,1012.4,6,-7,10.22 02:45,10.22 12:15
36.8,186.6,819.8,1001.6,6,4.2,10.22 02:50,10.22 12:20
36.8,195.6,803.2,994.2,6,15.2,10.22 02:55,10.22 12:25
36.8,164,856.2,1014,7,25.4,10.22 03:00,10.22 12:30
37,148.8,880.4,1021.6,7,34.4,10.22 03:05,10.22 12:35
37.2,187.8,815,994.2,8,41.4,10.22 03:10,10.22 12:40
37.2,224.2,746,961,9,47.4,10.22 03:15,10.22 12:45
37.6,213,756.8,958.4,10,52.4,10.22 03:20,10.22 12:50
37.6,217.8,740.8,945,11,56.4,10.22 03:25,10.22 12:55
37.6,261.6,667.2,914.6,12,60.2,10.22 03:30,10.22 13:00
37.6,286,611.2,882,13,63.2,10.22 03:35,10.22 13:05
37.8,209.8,675.6,865.6,14,65.4,10.22 03:40,10.22 13:10
37.8,139.2,724.2,838.6,15,68.2,10.22 03:45,10.22 13:15
37.8,198.8,563.2,739.2,16,69.4,10.22 03:50,10.22 13:20
37.8,123.6,562.2,660,17,71.2,10.22 03:55,10.22 13:25
37.8,231.4,561.2,763.6,18,73.2,10.22 04:00,10.22 13:30
38,248.4,636.8,848.2,20,74.2,10.22 04:05,10.22 13:35
38,256,592,809.6,21,75.2,10.22 04:10,10.22 13:40
38,254.8,564,778,22,76.2,10.22 04:15,10.22 13:45
38,228.4,630.2,808,23,77.2,10.22 04:20,10.22 13:50
38.2,188.6,703.4,829.4,24,78.2,10.22 04:25,10.22 13:55
38.4,159.8,709,799.6,25,79.2,10.22 04:30,10.22 14:00
38.4,140,703.6,768.8,27,80.2,10.22 04:35,10.22 14:05
38.4,207.4,573.6,714.8,28,81.2,10.22 04:40,10.22 14:10
38.4,193.4,547.6,672,29,81.2,10.22 04:45,10.22 14:15
38.4,238.8,589.4,748.4,30,82.2,10.22 04:50,10.22 14:20
38.4,200.8,710.2,807.4,31,83,10.22 04:55,10.22 14:25
38.4,200.4,682.6,775.8,33,83.2,10.22 05:00,10.22 14:30
38.4,206.8,627.4,728.4,34,84.2,10.22 05:05,10.22 14:35
38.4,179.6,536.6,619.6,35,84.2,10.22 05:10,10.22 14:40
38.4,103,534.2,534.6,36,85.2,10.22 05:15,10.22 14:45
38.4,117.6,531.8,540.6,37,85.2,10.22 05:20,10.22 14:50
38.4,131.4,529,545.4,38.8,86.2,10.22 05:25,10.22 14:55
38.4,129,526.2,533.6,40,86.2,10.22 05:30,10.22 15:00
38.4,134.4,522.8,529,41,87,10.22 05:35,10.22 15:05
38.6,204,519.2,589.2,42,87.2,10.22 05:40,10.22 15:10
38.6,216.4,584.4,641.6,43,88,10.22 05:45,10.22 15:15
38.6,165.8,599.2,593.6,44.8,88.2,10.22 05:50,10.22 15:20
38.4,121.2,622,555.6,46,88.2,10.22 05:55,10.22 15:25
38.2,115.4,638.8,552,47,89,10.22 06:00,10.22 15:30
38.2,117.6,633,540.4,48,89.2,10.22 06:05,10.22 15:35
38.2,152.6,497.6,477.4,49,90,10.22 06:10,10.22 15:40
38,111.4,490.4,423.4,50,90,10.22 06:15,10.22 15:45
38,131,485.6,431.8,52,90.2,10.22 06:20,10.22 15:50
37.6,134.8,502,437.8,53,91,10.22 06:25,10.22 15:55
37.6,133.8,475.2,412.6,54,91,10.22 06:30,10.22 16:00
37.6,119.8,470,387.4,55,91.2,10.22 06:35,10.22 16:05
37.6,98,464.8,354.4,56,92,10.22 06:40,10.22 16:10
