air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
23.2,116.2,691.6,452.4,61,-85,10.21 22:30,10.22 8:00
23.32,129.8,654,458,60,-84,10.21 22:35,10.22 8:05
23.42,130.6,662.2,473.6,59,-83.2,10.21 22:40,10.22 8:10
23.52,131.8,661.2,484.8,58,-83,10.21 22:45,10.22 8:15
23.64,128.6,667.6,495.4,56.8,-82,10.21 22:50,10.22 8:20
23.74,124.2,673.6,504.6,55.8,-81,10.21 22:55,10.22 8:25
23.92,112.8,679.2,506.8,54.8,-80.2,10.21 23:00,10.22 8:30
24.1,102.8,684.8,510,53.8,-80,10.21 23:05,10.22 8:35
24.32,137.8,600,503.4,52,-79,10.21 23:10,10.22 8:40
24.52,133,626.6,523.6,51,-78,10.21 23:15,10.22 8:45
24.72,127.8,619.8,522.8,50,-77,10.21 23:20,10.22 8:50
24.94,125,608,521.2,49,-76.2,10.21 23:25,10.22 8:55
25.12,113.8,645,542.8,48,-75.2,10.21 23:30,10.22 9:00
25.34,109.8,660.6,558.2,47,-74.2,10.21 23:35,10.22 9:05
25.54,98.2,702.6,584.6,46,-74,10.21 23:40,10.22 9:10
25.74,97,719.2,604,45,-73,10.21 23:45,10.22 9:15
25.96,101.8,722.4,619.8,44,-72,10.21 23:50,10.22 9:20
26.14,106.8,725.4,636,43,-71,10.21 23:55,10.22 9:25
26.34,113.8,729,654.6,42,-70,10.22 00:00,10.22 9:30
26.5,124.8,731.8,676.2,41,-68.2,10.22 00:05,10.22 9:35
26.66,173.2,734.2,735,40,-67.2,10.22 00:10,10.22 9:40
26.8,144,841.2,796.4,39,-66.2,10.22 00:15,10.22 9:45
26.98,118,902,827.6,38,-65,10.22 00:20,10.22 9:50
27.16,114.6,913.8,842.8,37,-64,10.22 00:25,10.22 9:55
27.26,115.4,916.2,855.2,36,-62.2,10.22 00:30,10.22 10:00
27.44,134.8,882.2,855,35,-61.2,10.22 00:35,10.22 10:05
27.62,139.6,876,863.4,34,-60,10.22 00:40,10.22 10:10
27.76,142.4,875.2,873.4,33,-58.2,10.22 00:45,10.22 10:15
27.92,118.8,925.2,899.2,32.8,-57,10.22 00:50,10.22 10:20
28.08,135.4,897,899.4,31.8,-55.2,10.22 00:55,10.22 10:25
28.22,150.8,870.8,899.4,30.8,-53.2,10.22 01:00,10.22 10:30
28.34,179,820.4,890.4,30,-52,10.22 01:05,10.22 10:35
28.48,154.2,872,916.2,29,-50,10.22 01:10,10.22 10:40
28.62,187.8,809,900.8,28,-48,10.22 01:15,10.22 10:45
28.74,198.2,793.2,902.2,27,-46,10.22 01:20,10.22 10:50
28.88,193.2,806.2,913.4,26.8,-44,10.22 01:25,10.22 10:55
29.02,215.6,761.6,899.8,26,-42,10.22 01:30,10.22 11:00
29.16,230.6,725.4,886.2,25,-39.2,10.22 01:35,10.22 11:05
29.28,195.2,730.6,859.4,24.8,-37,10.22 01:40,10.22 11:10
29.42,156.6,736.2,829,24,-34.2,10.22 01:45,10.22 11:15
29.56,149,712.2,802.4,23,-32,10.22 01:50,10.22 11:20
29.68,146.8,684.2,777,23,-29,10.22 01:55,10.22 11:25
29.74,148.8,689,785.6,22,-26,10.22 02:00,10.22 11:30
29.84,165.4,679.6,795.6,22,-23,10.22 02:05,10.22 11:35
29.86,198.6,732.2,879.6,21.8,-20,10.22 02:10,10.22 11:40
29.92,254,706.4,912.6,21,-16.2,10.22 02:15,10.22 11:45
29.96,232.2,731.6,915.8,21,-13,10.22 02:20,10.22 11:50
30.04,204.8,752,907.6,20.8,-10,10.22 02:25,10.22 11:55
30.06,218.2,741.4,912,20.8,-6,10.22 02:30,10.22 12:00
30.14,287.4,619.2,867.6,20.8,-3,10.22 02:35,10.22 12:05
30.18,291.8,612.2,864.8,20.8,1,10.22 02:40,10.22 12:10
30.24,284.6,631.6,876,20.8,4,10.22 02:45,10.22 12:15
30.28,293,617.6,870.8,20.8,8,10.22 02:50,10.22 12:20
30.36,292.4,614.6,866.8,21,11,10.22 02:55,10.22 12:25
30.36,275.2,537.4,776.8,21,15,10.22 03:00,10.22 12:30
