air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
28.6,197.4,599.2,615.2,46,-108,10.21 22:30,10.22 8:00
29,216.4,536.4,597.4,45,-108,10.21 22:35,10.22 8:05
29,214.6,577.8,633.4,44,-108,10.21 22:40,10.22 8:10
29.4,192.2,652.4,673.8,42,-109,10.21 22:45,10.22 8:15
29.8,159.8,737,713.6,41,-109,10.21 22:50,10.22 8:20
30,160.4,744.8,729.8,40,-109,10.21 22:55,10.22 8:25
30,162.4,747.6,743.4,39,-109,10.21 23:00,10.22 8:30
30.2,164.2,750,756.6,38,-109,10.21 23:05,10.22 8:35
30.2,169.6,746.8,768.2,37,-109,10.21 23:10,10.22 8:40
30.6,171.6,749.2,781.6,36,-110,10.21 23:15,10.22 8:45
31,156.8,785.2,804.6,34,-110,10.21 23:20,10.22 8:50
31.2,155.2,794.2,819.4,33,-110,10.21 23:25,10.22 8:55
31.2,173.4,764,820.4,32,-111,10.21 23:30,10.22 9:00
31.2,185,747.8,826,31,-111,10.21 23:35,10.22 9:05
31.2,225.4,669,805.4,30,-111,10.21 23:40,10.22 9:10
31.2,240.2,643.2,804.2,29,-112,10.21 23:45,10.22 9:15
31.2,211,710.4,840.8,28,-112,10.21 23:50,10.22 9:20
31.4,196.4,742.6,860.8,27,-113,10.21 23:55,10.22 9:25
31.6,198.6,745,871.6,25,-114,10.22 00:00,10.22 9:30
31.6,192.2,760.6,885.4,24,-114,10.22 00:05,10.22 9:35
31.8,202.6,744.2,886.4,23,-115,10.22 00:10,10.22 9:40
31.8,220.6,714.2,882.4,22,-116,10.22 00:15,10.22 9:45
31.8,224.2,715,891.8,21,-117,10.22 00:20,10.22 9:50
31.8,228.4,713.4,899,20,-118,10.22 00:25,10.22 9:55
31.8,209.2,750.4,919.2,19,-120,10.22 00:30,10.22 10:00
31.8,210,751.2,925.2,18,-121,10.22 00:35,10.22 10:05
32,229.2,720.2,918.4,17,-123,10.22 00:40,10.22 10:10
32.2,242,699.4,915,16,-125,10.22 00:45,10.22 10:15
32.2,261.2,667.6,906.6,15,-127,10.22 00:50,10.22 10:20
32.2,316.8,546,846.6,14,-130,10.22 00:55,10.22 10:25
32.2,299.8,561,846.8,13,-133,10.22 01:00,10.22 10:30
32.2,279.2,578.6,844.6,12,-137,10.22 01:05,10.22 10:35
32.4,227.2,599.4,814.8,11,-141,10.22 01:10,10.22 10:40
32.4,225.6,620.8,835.8,11,-145,10.22 01:15,10.22 10:45
32.4,276.8,633.2,900.2,10,-151,10.22 01:20,10.22 10:50
32.6,252.6,688.6,932,9,-157,10.22 01:25,10.22 10:55
32.8,273.8,644.6,910.6,9,-163,10.22 01:30,10.22 11:00
32.8,262.4,612,867.2,9,-171,10.22 01:35,10.22 11:05
32.8,272.2,587.8,853.8,9,-178,10.22 01:40,10.22 11:10
32.8,259,543.2,795.8,9,174,10.22 01:45,10.22 11:15
32.8,230.8,617.4,840.8,9,167,10.22 01:50,10.22 11:20
32.8,181.6,669.4,842.2,9,160,10.22 01:55,10.22 11:25
33,167,681.8,839.2,10,153,10.22 02:00,10.22 11:30
33.2,165.6,659.2,814,10,148,10.22 02:05,10.22 11:35
33.2,163.2,665.6,816.8,11,143,10.22 02:10,10.22 11:40
33.2,197.6,671.2,854.8,12,138,10.22 02:15,10.22 11:45
33.2,213.2,671.8,868.4,13,135,10.22 02:20,10.22 11:50
33.6,219.2,655.4,856.4,13,131,10.22 02:25,10.22 11:55
33.6,257.2,631.8,869.2,14,129,10.22 02:30,10.22 12:00
33.8,293.4,596.8,869.2,15,126,10.22 02:35,10.22 12:05
33.8,300.4,586.2,862.8,16,124,10.22 02:40,10.22 12:10
33.8,296.4,552,823.2,17,122,10.22 02:45,10.22 12:15
34,260.4,578.8,809.6,18,121,10.22 02:50,10.22 12:20
34,200.6,605.6,771.6,19,119,10.22 02:55,10.22 12:25
33.8,194.8,599.8,756.6,21,118,10.22 03:00,10.22 12:30
33.8,200.8,575.6,736.2,22,117,10.22 03:05,10.22 12:35
33.8,231.4,552.6,741.4,23,116,10.22 03:10,10.22 12:40
33.6,272.2,534.4,761.6,24,115,10.22 03:15,10.22 12:45
33.6,270.2,599.8,814.2,25,114,10.22 03:20,10.22 12:50
33.8,230.6,672.6,835.2,26,113,10.22 03:25,10.22 12:55
33.8,219.6,686.6,830.8,27,113,10.22 03:30,10.22 13:00
33.8,198,736.2,846.4,28,112,10.22 03:35,10.22 13:05
34,216.2,698.2,825,29,112,10.22 03:40,10.22 13:10
33.8,277.8,560.6,761,30,111,10.22 03:45,10.22 13:15
33.8,237.6,584.6,735.6,32,111,10.22 03:50,10.22 13:20
33.8,209,582.8,699,33,110,10.22 03:55,10.22 13:25
33.8,222.8,511,646.6,34,110,10.22 04:00,10.22 13:30
33.8,267.4,410.8,603.8,35,110,10.22 04:05,10.22 13:35
33.8,294,305.2,540.2,36,109,10.22 04:10,10.22 13:40
33.8,257.8,275.8,477.2,37,109,10.22 04:15,10.22 13:45
33.6,227,377.2,522.6,38,109,10.22 04:20,10.22 13:50
33.4,199.6,448.8,545.2,40,109,10.22 04:25,10.22 13:55
33.4,222.8,429.2,548,41,109,10.22 04:30,10.22 14:00
33.4,238.4,390.6,529.6,42,109,10.22 04:35,10.22 14:05
33.2,204,445.8,530,43,109,10.22 04:40,10.22 14:10
33.2,193.4,457.4,521.4,44,108,10.22 04:45,10.22 14:15
33.2,207.8,358.8,460.2,45,108,10.22 04:50,10.22 14:20
33,190.8,303.6,399.6,46,108,10.22 04:55,10.22 14:25
32.8,172,291,368.2,48,108,10.22 05:00,10.22 14:30
32.8,157.2,270.4,335,49,108,10.22 05:05,10.22 14:35
32.8,129.2,270.2,303.2,50,108,10.22 05:10,10.22 14:40
32.8,107.4,269,276.4,51,108,10.22 05:15,10.22 14:45
32.6,135.6,259.6,294.4,52,108,10.22 05:20,10.22 14:50
32.6,168.8,236.2,309.8,53,108,10.22 05:25,10.22 14:55
32.4,187.2,194.6,300.2,55,108,10.22 05:30,10.22 15:00
32.4,181.6,197.6,293,56,108,10.22 05:35,10.22 15:05
32.4,186.4,189.4,290.2,57,108,10.22 05:40,10.22 15:10
32.4,183,191.8,284.6,58,108,10.22 05:45,10.22 15:15
32.4,180.6,172,268.8,59,109,10.22 05:50,10.22 15:20
32.2,159,197.8,257,60,109,10.22 05:55,10.22 15:25
32.2,145.8,224.2,253.2,61,109,10.22 06:00,10.22 15:30
32,137,241.2,248,63,109,10.22 06:05,10.22 15:35
