air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
21.8,115,643.2,442.4,59,-83,10.21 22:30,10.22 8:00
21.92,116.6,649.8,457.2,58,-82,10.21 22:35,10.22 8:05
22.04,143.6,596.6,465.6,57,-81,10.21 22:40,10.22 8:10
22.08,171.2,540.6,471.2,56,-80.2,10.21 22:45,10.22 8:15
22.22,182.4,540.2,490.2,55,-80,10.21 22:50,10.22 8:20
22.32,182.4,563.8,512,54,-79,10.21 22:55,10.22 8:25
22.44,159,660.2,555,53,-78,10.21 23:00,10.22 8:30
22.58,125.8,767.2,597,52,-77,10.21 23:05,10.22 8:35
22.74,154.2,689,587,51,-76.2,10.21 23:10,10.22 8:40
22.9,166,621.8,565,50,-75.2,10.21 23:15,10.22 8:45
23.02,178.2,548.2,537.4,49,-74.2,10.21 23:20,10.22 8:50
23.2,138.8,632,561,48,-73.2,10.21 23:25,10.22 8:55
23.3,139.6,701.6,617.6,47,-73,10.21 23:30,10.22 9:00
23.48,161.2,719.6,660.8,46,-72,10.21 23:35,10.22 9:05
23.6,140.4,794.2,701.6,45,-71,10.21 23:40,10.22 9:10
23.78,165,743.2,699.4,44,-70,10.21 23:45,10.22 9:15
23.94,141.8,803.6,729.2,43,-68.2,10.21 23:50,10.22 9:20
24.08,142,809.6,743,42,-67.2,10.21 23:55,10.22 9:25
24.24,171.4,747.2,735,41,-66.2,10.22 00:00,10.22 9:30
24.44,194,705.4,733.6,40,-65,10.22 00:05,10.22 9:35
24.64,193.2,714.6,747.4,39,-64,10.22 00:10,10.22 9:40
24.8,179.8,753.4,772,38,-63,10.22 00:15,10.22 9:45
25,157.4,804,797.4,37,-61.2,10.22 00:20,10.22 9:50
25.18,179.8,749.8,783.8,36,-60,10.22 00:25,10.22 9:55
25.4,177.2,738.8,779.4,35,-58.2,10.22 00:30,10.22 10:00
25.58,127,740.8,736.6,34.8,-57,10.22 00:35,10.22 10:05
25.78,152.8,717.6,750.2,33.8,-55.2,10.22 00:40,10.22 10:10
25.94,159.6,674.4,726.6,33,-54,10.22 00:45,10.22 10:15
26.14,193.6,674.6,765.8,32,-52.2,10.22 00:50,10.22 10:20
26.34,202.8,679.6,784.2,31,-50.2,10.22 00:55,10.22 10:25
26.48,203,730,833,30,-49,10.22 01:00,10.22 10:30
26.62,188.8,769.2,858,29.8,-47,10.22 01:05,10.22 10:35
26.74,188.6,774,867.2,29,-45,10.22 01:10,10.22 10:40
26.88,190.6,777.4,877.2,28,-43,10.22 01:15,10.22 10:45
26.98,238.4,687,848.4,27,-40.2,10.22 01:20,10.22 10:50
27.1,260.2,606.6,801.6,26.8,-38.2,10.22 01:25,10.22 10:55
27.22,247.8,630,813.6,26,-36,10.22 01:30,10.22 11:00
27.34,233.6,646.6,817.4,25.8,-33.2,10.22 01:35,10.22 11:05
27.44,219.6,674.8,831.8,25,-31,10.22 01:40,10.22 11:10
27.58,202.6,701,840.8,24,-28,10.22 01:45,10.22 11:15
27.7,181.4,733.4,852,24,-25.2,10.22 01:50,10.22 11:20
27.84,166.6,757.2,861.2,23.8,-23,10.22 01:55,10.22 11:25
27.9,215.4,708.8,867.6,23,-20,10.22 02:00,10.22 11:30
27.98,241,669.2,858,22.8,-17,10.22 02:05,10.22 11:35
28.04,217.4,754.4,914.6,22.8,-13.2,10.22 02:10,10.22 11:40
28.1,193,803.2,936,22,-10,10.22 02:15,10.22 11:45
28.16,198.8,792,932.6,22,-7,10.22 02:20,10.22 11:50
28.22,207.8,775.2,926.4,22,-4,10.22 02:25,10.22 11:55
28.3,246.8,699,895,22,-0.8,10.22 02:30,10.22 12:00
28.36,262.6,630.2,846.8,22,3,10.22 02:35,10.22 12:05
28.42,254.8,616.4,826,22,6,10.22 02:40,10.22 12:10
28.48,258.8,604.8,818.6,22,9,10.22 02:45,10.22 12:15
28.54,268.2,595.6,818.8,22,12.2,10.22 02:50,10.22 12:20
28.62,280,617,849,22.8,16,10.22 02:55,10.22 12:25
28.64,263.4,587.4,804,23,19,10.22 03:00,10.22 12:30
28.6,243.2,559.2,756.6,23,22,10.22 03:05,10.22 12:35
28.62,250,538.4,742.2,23.8,25,10.22 03:10,10.22 12:40
28.6,268.2,504.8,728.2,24,27.2,10.22 03:15,10.22 12:45
28.6,371.4,380.6,717.4,24.8,30,10.22 03:20,10.22 12:50
28.58,417,318.4,704.8,25,33,10.22 03:25,10.22 12:55
28.58,369.4,327.6,664,26,35.2,10.22 03:30,10.22 13:00
28.56,270.8,433.8,658.8,26.8,37.2,10.22 03:35,10.22 13:05
28.56,309,354.6,624.2,27,40,10.22 03:40,10.22 13:10
28.54,322.6,405,680.8,28,42.2,10.22 03:45,10.22 13:15
28.56,299,427.6,674.4,28.8,44.2,10.22 03:50,10.22 13:20
28.52,283.4,431.6,659.6,29,46.2,10.22 03:55,10.22 13:25
28.52,336.8,434.4,712.6,30,48.2,10.22 04:00,10.22 13:30
28.54,281.4,580,779.4,31,50,10.22 04:05,10.22 13:35
28.56,287.4,517,727.2,31.8,52,10.22 04:10,10.22 13:40
28.56,234.6,533.4,684,32.8,53.2,10.22 04:15,10.22 13:45
28.58,219.4,524,656.8,33,55,10.22 04:20,10.22 13:50
28.6,190,531.4,629.2,34,57,10.22 04:25,10.22 13:55
28.64,160.6,531.2,594.8,35,58.2,10.22 04:30,10.22 14:00
28.66,145.2,517,563.2,36,59.2,10.22 04:35,10.22 14:05
28.68,170.6,496.4,567.2,37,61,10.22 04:40,10.22 14:10
28.68,219,425.2,554.6,38,62.2,10.22 04:45,10.22 14:15
28.7,257.6,370,545.6,39,63.2,10.22 04:50,10.22 14:20
28.72,266.6,407.4,579.6,40,65,10.22 04:55,10.22 14:25
28.72,226,488,595.8,41,66,10.22 05:00,10.22 14:30
28.7,152.4,616,612.2,42,67.2,10.22 05:05,10.22 14:35
28.66,169.6,555.2,577.6,43,68.2,10.22 05:10,10.22 14:40
28.62,192.2,472.8,534,43.8,69.2,10.22 05:15,10.22 14:45
28.6,156.2,499.8,511.8,44.8,70.2,10.22 05:20,10.22 14:50
28.6,133.4,502.2,484.4,45.8,71.2,10.22 05:25,10.22 14:55
28.54,116.8,499.2,459.4,46.8,72.2,10.22 05:30,10.22 15:00
28.54,103.2,496.8,437.8,47.8,73.2,10.22 05:35,10.22 15:05
28.52,99,494.2,425.2,49,74.2,10.22 05:40,10.22 15:10
28.48,96,491.6,413.8,50,75.2,10.22 05:45,10.22 15:15
28.44,116.2,488.6,425.8,51,76,10.22 05:50,10.22 15:20
28.42,136.2,485.8,437.2,52,77,10.22 05:55,10.22 15:25
28.38,186.6,386.6,420.6,53,78,10.22 06:00,10.22 15:30
28.38,204.6,337.8,404.2,54,79,10.22 06:05,10.22 15:35
28.34,161.4,440.8,415.6,55,79.2,10.22 06:10,10.22 15:40
28.3,143.2,446.4,393.6,56,80.2,10.22 06:15,10.22 15:45
28.28,141.4,439.6,381.2,57,81,10.22 06:20,10.22 15:50
28.26,153,385,357.4,58,82,10.22 06:25,10.22 15:55
28.24,146,371.4,337.4,59,83,10.22 06:30,10.22 16:00
28.2,144.4,344.2,316.2,60,83.2,10.22 06:35,10.22 16:05
28.2,150.6,349.4,319.6,61,84,10.22 06:40,10.22 16:10
28.14,162.6,308,306.6,62,85,10.22 06:45,10.22 16:15
28.1,149.4,298.6,284.2,63,85.2,10.22 06:50,10.22 16:20
28.1,151.6,284.4,275.2,64,86.2,10.22 06:55,10.22 16:25
28.04,139.2,279,256,65,87,10.22 07:00,10.22 16:30
27.98,124.2,286.8,239.2,66,88,10.22 07:05,10.22 16:35
27.86,126.4,280.6,234.2,67,88.2,10.22 07:10,10.22 16:40
27.8,125.6,276.8,227.4,68,89,10.22 07:15,10.22 16:45
27.72,106.6,286.2,206.8,69,90,10.22 07:20,10.22 16:50
27.66,116.6,297.4,215.8,70.8,90.2,10.22 07:25,10.22 16:55
27.58,122.2,266.4,206,71.8,91,10.22 07:30,10.22 17:00
27.52,116.8,235.2,187.2,73,92,10.22 07:35,10.22 17:05
27.44,114.2,253,185.2,74,92.2,10.22 07:40,10.22 17:10
27.38,103.8,289.8,180.2,75,93,10.22 07:45,10.22 17:15
27.26,89.6,273.4,156.6,76,94,10.22 07:50,10.22 17:20
27.2,72,293.4,138.8,77,94.2,10.22 07:55,10.22 17:25
27.1,81.8,220.6,128,78,95,10.22 08:00,10.22 17:30
26.92,69.6,242.8,116.4,79,96,10.22 08:05,10.22 17:35
26.74,57.4,270.4,104.6,80,96.2,10.22 08:10,10.22 17:40
26.54,49,271.2,90.8,81,97,10.22 08:15,10.22 17:45
26.38,49,141,68.4,82,98,10.22 08:20,10.22 17:50
26.2,36.6,135.2,52.6,83,98,10.22 08:25,10.22 17:55
26.02,35.2,122.2,47.6,84,99,10.22 08:30,10.22 18:00
25.84,27.4,126.4,38.4,85,99.2,10.22 08:35,10.22 18:05
25.68,21.8,75.2,28.4,86,100,10.22 08:40,10.22 18:10
25.48,14.2,38.2,17.6,87,101,10.22 08:45,10.22 18:15
25.3,8.4,9.2,9,88,101.2,10.22 08:50,10.22 18:20
25.12,2.8,1.6,2.8,89,102,10.22 08:55,10.22 18:25
24.86,0,0,0,90,103,10.22 09:00,10.22 18:30
24.52,0,0,0,91,103.2,10.22 09:05,10.22 18:35
24.14,0,0,0,92,104,10.22 09:10,10.22 18:40
23.78,0,0,0,93,105,10.22 09:15,10.22 18:45
23.44,0,0,0,94,106,10.22 09:20,10.22 18:50
23.08,0,0,0,95.8,106.2,10.22 09:25,10.22 18:55
22.7,0,0,0,96.8,107,10.22 09:30,10.22 19:00
22.34,0,0,0,97.8,108,10.22 09:35,10.22 19:05
22,0,0,0,98.8,108.2,10.22 09:40,10.22 19:10
21.64,0,0,0,99.8,109,10.22 09:45,10.22 19:15
21.26,0,0,0,100.8,110,10.22 09:50,10.22 19:20
20.92,0,0,0,101,111,10.22 09:55,10.22 19:25
20.7,0,0,0,102,111.2,10.22 10:00,10.22 19:30
20.54,0,0,0,103,112,10.22 10:05,10.22 19:35
20.44,0,0,0,104,113,10.22 10:10,10.22 19:40
20.28,0,0,0,105,114,10.22 10:15,10.22 19:45
20.2,0,0,0,106,114.2,10.22 10:20,10.22 19:50
20.04,0,0,0,107,115.2,10.22 10:25,10.22 19:55
19.96,0,0,0,108,116,10.22 10:30,10.22 20:00
19.8,0,0,0,109,117,10.22 10:35,10.22 20:05
19.72,0,0,0,110,118,10.22 10:40,10.22 20:10
19.56,0,0,0,111,119,10.22 10:45,10.22 20:15
19.46,0,0,0,112,119.2,10.22 10:50,10.22 20:20
19.3,0,0,0,113,120.2,10.22 10:55,10.22 20:25
19.24,0,0,0,114,121.2,10.22 11:00,10.22 20:30
19.14,0,0,0,114.8,122.2,10.22 11:05,10.22 20:35
19.06,0,0,0,115.8,123,10.22 11:10,10.22 20:40
18.94,0,0,0,116,124,10.22 11:15,10.22 20:45
18.9,0,0,0,117,125,10.22 11:20,10.22 20:50
18.8,0,0,0,118,126,10.22 11:25,10.22 20:55
18.74,0,0,0,119,127,10.22 11:30,10.22 21:00
18.64,0,0,0,120,128,10.22 11:35,10.22 21:05
18.6,0,0,0,120.8,129,10.22 11:40,10.22 21:10
18.48,0,0,0,121.8,130.2,10.22 11:45,10.22 21:15
