Actual Time, Run State, Speed (kph), SoC (%), Power Generated (W), Power Consumed (W), ControlStop Next, Distance to ControlStop Next (km)
Day 1 08:00,111,62,96,241,1011,Katherine,323
Day 1 08:15,111,62,94,440,871,Katherine,307
Day 1 08:30,111,62,92,497,871,Katherine,292
Day 1 08:45,111,62,90,566,871,Katherine,276
Day 1 09:00,111,62,89,584,871,Katherine,261
Day 1 09:15,111,62,88,615,871,Katherine,245
Day 1 09:30,111,62,87,667,871,Katherine,230
Day 1 09:45,111,62,85,654,871,Katherine,214
Day 1 10:00,111,62,84,651,871,Katherine,199
Day 1 10:15,111,62,83,654,871,Katherine,183
Day 1 10:30,111,62,82,688,871,Katherine,168
Day 1 10:45,111,62,82,732,871,Katherine,152
Day 1 11:00,111,62,81,759,871,Katherine,137
Day 1 11:15,111,62,81,783,871,Katherine,121
Day 1 11:30,111,62,80,784,871,Katherine,106
Day 1 11:45,111,62,80,827,871,Katherine,90
Day 1 12:00,111,62,80,802,871,Katherine,75
Day 1 12:15,111,62,79,773,871,Katherine,59
Day 1 12:30,111,62,79,737,871,Katherine,44
Day 1 12:45,111,62,78,716,871,Katherine,28
Day 1 13:00,111,62,77,751,871,Katherine,13
Day 1 13:15,222,0,81,760,10,Katherine,0
Day 1 13:30,222,0,85,817,10,Dunmarra,308
Day 1 13:45,111,62,84,811,971,Dunmarra,308
Day 1 14:00,111,62,84,775,871,Dunmarra,293
Day 1 14:15,111,62,83,682,871,Dunmarra,277
Day 1 14:30,111,62,82,656,871,Dunmarra,262
Day 1 14:45,111,62,81,653,871,Dunmarra,246
Day 1 15:00,111,62,80,698,871,Dunmarra,231
Day 1 15:15,111,62,79,715,871,Dunmarra,215
Day 1 15:30,111,62,78,639,871,Dunmarra,200
Day 1 15:45,111,62,77,594,871,Dunmarra,184
Day 1 16:00,111,62,75,526,871,Dunmarra,169
Day 1 16:15,111,62,73,481,871,Dunmarra,153
Day 1 16:30,111,62,71,418,871,Dunmarra,138
Day 1 16:45,111,62,68,377,871,Dunmarra,122
