pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
22.50,true,70.00,39.7,INVALID,Day6 9:15~9:20,41.79,40,492.47,344.15,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 10:5~10,70,98,661.8228410578845,655.2046126473057,54.57854423352056,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:10~15,70,97,649.7990419498359,643.3010515303375,53.58697759247712,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:15~20,70,96,638.2770202235582,631.8942500213226,52.63679102677617,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:20~25,70,95,629.3390332334853,623.0456429011505,51.899702053665834,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:25~30,70,94,622.4130805596304,616.1889497540341,51.328539514511036,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:30~35,70,93,615.8101509104785,609.6520494013737,50.78401571513443,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:35~40,70,93,639.2259769454446,632.8337171759902,52.71504864075998,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:40~45,70,92,712.4683627882234,705.3436791603411,58.75512847405641,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:45~50,70,91,749.997981293035,742.4980014801046,61.85008352329271,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:50~55,70,90,721.060789966896,713.850182067227,59.46372016620001,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 10:55~60,70,90,712.8225720450203,705.69434632457,58.78433904883668,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:0~5,70,89,741.8155058441503,734.3973507857088,61.17529932044954,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:5~10,70,88,757.3105230464482,749.7374178159837,62.45312690407144,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:10~15,70,88,758.5905191349649,751.0046139436153,62.55868434150315,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:15~20,70,87,769.0054757288983,761.3154209716093,63.41757456693506,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:20~25,70,87,801.8873006219869,793.868427615767,66.1292400203934,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:25~30,70,86,826.780257949855,818.5124553703564,68.18208753235069,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:30~35,70,85,841.3018220658374,832.8888038451792,69.37963736030342,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
