pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
22.50,false,67.85,41.0,6,Day6 10:35~10:40,32.16,0,505.60,349.42,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 10:5~10,44,100,661.8228410578845,655.2046126473057,54.57854423352056,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:10~15,44,100,649.7990419498359,643.3010515303375,53.58697759247712,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:15~20,44,100,638.2770202235582,631.8942500213226,52.63679102677617,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:20~25,44,100,629.3390332334853,623.0456429011505,51.899702053665834,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:25~30,44,100,622.4130805596304,616.1889497540341,51.328539514511036,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:30~35,44,100,615.8101509104785,609.6520494013737,50.78401571513443,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:35~40,44,100,639.2259769454446,632.8337171759902,52.71504864075998,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:40~45,44,100,712.4683627882234,705.3436791603411,58.75512847405641,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:45~50,44,100,749.997981293035,742.4980014801046,61.85008352329271,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:50~55,44,100,721.060789966896,713.850182067227,59.46372016620001,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 10:55~60,44,100,712.8225720450203,705.69434632457,58.78433904883668,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:0~5,44,100,741.8155058441503,734.3973507857088,61.17529932044954,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:5~10,44,100,757.3105230464482,749.7374178159837,62.45312690407144,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:10~15,44,100,758.5905191349649,751.0046139436153,62.55868434150315,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:15~20,44,100,769.0054757288983,761.3154209716093,63.41757456693506,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:20~25,44,100,801.8873006219869,793.868427615767,66.1292400203934,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:25~30,44,100,826.780257949855,818.5124553703564,68.18208753235069,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:30~35,44,100,841.3018220658374,832.8888038451792,69.37963736030342,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:35~40,44,100,854.8524630292545,846.3039383989619,70.49711806863353,0.0,45.0214288888,540.473336,333.96,156.513336,0.0
Day1 11:40~45,44,100,859.0191095372672,850.4289184418946,70.84072890620982,0.0,52.158784257311105,626.1558734371081,397.43999999999994,169.556114,9.159759437108177
Day1 11:45~50,48,100,861.2772030115718,852.6644309814561,71.0269471007553,0.0,58.9929476647111,708.1986514371081,466.43999999999994,182.598892,9.159759437108177
Day1 11:50~55,52,100,860.7190615652308,852.1118709495785,70.98091885009988,0.0,67.9106523221111,815.2539294371081,560.4525,195.64167,9.159759437108177
Day1 11:55~60,57,99,874.0644103819883,865.3237662781684,72.08146973097142,0.0,79.3962908480222,953.1367448742161,663.0899999999999,221.727226,18.319518874216353
Day1 12:0~5,62,99,910.328840952737,901.2255525432096,75.07208852684936,0.0,90.92776129431113,1091.5697634371083,797.64,234.770004,9.159759437108177
Day1 12:5~10,68,98,932.6915863419723,923.3646704785526,76.91627705086343,0.0,106.10629707022221,1273.7850788742162,944.6099999999999,260.85556,18.319518874216353
Day1 12:10~15,74,98,935.084210808472,925.7333687003872,77.11358961274226,0.0,123.8698601350222,1487.033134874216,1131.7724999999998,286.941116,18.319518874216353
Day1 12:15~20,81,96,936.3386392836397,926.9752528908034,77.21703856580392,0.0,145.58496694982222,1747.7186908742162,1366.3725,313.026672,18.319518874216353
Day1 12:20~25,89,94,937.4999786782048,928.1249788914228,77.31281074165551,0.0,169.13933776462218,2030.4842468742158,1623.0524999999998,339.112228,18.319518874216353
Day1 12:25~30,97,92,938.5295045595409,929.1442095139455,77.39771265251166,0.0,199.41435569793333,2393.9298403113244,1938.2099999999998,378.240562,27.479278311324535
Day1 12:30~35,106,89,937.8558435108318,928.4772850757234,77.34215784680777,0.0,234.5734809201333,2816.008174311324,2321.16,417.368896,27.479278311324535
Day1 12:35~40,116,86,937.8571024923887,928.4785314674647,77.34226167123981,0.0,247.6985004053111,2973.571433437108,2484.0,430.411674,9.159759437108177
Day1 12:40~45,120,82,937.0772709535275,927.7064982439923,77.27795130372456,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 12:45~50,120,79,935.1582627320025,925.8066801046825,77.11969645272005,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 12:50~55,120,75,933.0249054362824,923.6946563819196,76.9437648766139,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 12:55~60,120,72,930.6701575751883,921.3634559994365,76.74957588475306,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:0~5,120,69,928.339812042049,919.0564139216284,76.55739927967164,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:5~10,120,65,925.5411225507669,916.2857113252592,76.32659975339409,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:10~15,120,62,919.303574129883,910.1105383885844,75.81220784776907,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:15~20,120,59,915.8523752920975,906.6938515391765,75.5275978332134,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:20~25,120,55,912.2078885762052,903.085809690443,75.2270479472139,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:25~30,120,52,907.4359967831429,898.3616368153114,74.83352434671544,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:30~35,120,48,901.53841789233,892.5230337134067,74.34716870832678,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:35~40,120,45,892.7654606785253,883.8378060717401,73.62368924577595,0.0,246.93549244419998,2964.411674,2484.0,430.411674,0.0
Day1 13:40~45,120,47,955.0337448140115,1036.1650257932422,86.31254664857707,0.0,0.0,0.0,0.0,0.0,302.2720614245698
Day1 13:45~50,0,48,953.4141550130121,943.880013462882,78.62520512145807,0.0,0.0,0.0,0.0,0.0,0.0
Day1 13:50~55,0,50,950.6127422166957,941.1066147945287,78.39418101238424,0.0,0.0,0.0,0.0,0.0,0.0
Day1 13:55~60,0,51,948.0574725157028,938.5768977905458,78.18345558595246,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:0~5,0,53,945.5008115151521,936.0458034000006,77.97261542322005,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:5~10,0,54,942.9427586647454,933.5133310780978,77.76166047880555,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:10~15,0,55,853.3384313923087,844.8050470783857,70.37226042162952,0.0,31.045310198088888,372.6927994968654,145.0725,104.342224,73.27807549686541
Day1 14:15~20,29,56,841.1537129058792,832.7421757768203,69.36742324220913,0.0,24.9412465092,299.414724,145.0725,104.342224,0.0
Day1 14:20~25,29,57,824.9842218236637,816.7343796054271,68.03397382113208,0.0,24.9412465092,299.414724,145.0725,104.342224,0.0
Day1 14:25~30,29,58,813.9234997694689,805.7842647717742,67.12182925548879,0.0,24.9412465092,299.414724,145.0725,104.342224,0.0
Day1 14:30~35,29,59,809.6100955914319,801.5139946355175,66.7661157531386,0.0,24.9412465092,299.414724,145.0725,104.342224,0.0
Day1 14:35~40,29,59,793.9856420975453,786.0457856765698,65.47761394685827,0.0,24.9412465092,299.414724,145.0725,104.342224,0.0
Day1 14:40~45,29,60,783.0771645272642,775.2463928819916,64.5780245270699,0.0,24.9412465092,299.414724,145.0725,104.342224,0.0
Day1 14:45~50,29,61,770.3610763537454,762.657465590208,63.52936688366432,0.0,26.665556509199998,320.11472399999997,165.77249999999998,104.342224,0.0
