pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
21.00,true,70.00,39.7,INVALID,Day6 9:15~9:20,31.74,259,459.64,321.20,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 10:5~10,70,97,617.7013183206922,611.5243051374853,50.93997461795252,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:10~15,70,95,606.4791058198467,600.4143147616483,50.0145124196453,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:15~20,70,94,595.7252188753209,589.7679666865678,49.127671624991095,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:20~25,70,92,587.3830976845862,581.5092667077404,48.43972191675477,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:25~30,70,91,580.9188751889883,575.1096864370984,47.90663688021029,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:30~35,70,90,574.7561408497799,569.008579441282,47.39841466745879,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:35~40,70,88,596.6109118157482,590.6448026975906,49.2007120647093,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:40~45,70,87,664.970471935675,658.3207672163182,54.83811990911931,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:45~50,70,86,699.9981158734993,692.9981347147643,57.72674462173987,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:50~55,70,85,672.9900706357696,666.2601699294119,55.49947215512001,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 10:55~60,70,83,665.3010672420189,658.6480565695987,54.86538311224757,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:0~5,70,82,692.3611387878735,685.4375273999948,57.09694603241957,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:5~10,70,81,706.8231548433516,699.7549232949181,58.289585110466675,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:10~15,70,80,708.0178178593005,700.9376396807075,58.38810538540294,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:15~20,70,78,717.7384440136384,710.561059573502,59.189736262472714,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:20~25,70,77,748.4281472471877,740.9438657747157,61.72062401903382,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:25~30,70,76,771.6615740865312,763.9449583456659,63.636615030193965,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:30~35,70,75,785.2150339281148,777.3628835888337,64.75432820294985,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:35~40,70,74,797.8622988273041,789.8836758390311,65.79731019739128,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:40~45,70,73,801.7511689014493,793.7336572124348,66.11801364579581,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:45~50,70,72,803.8587228108003,795.8201355826923,66.29181729403827,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:50~55,70,71,803.3377907942153,795.3044128862731,66.24885759342655,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 11:55~60,70,70,815.7934496898556,807.6355151929571,67.27603841557332,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:0~5,70,69,849.6402515558879,841.143849040329,70.0672826250594,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:5~10,70,68,870.5121472525074,861.8070257799823,71.78852524747252,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
