pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
21.00,false,-182246330.35,65.5,5,TAKES MORE THAN 6 DAYS,10.00,67,644.90,307.10,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 10:5~10,44,99,617.7013183206922,611.5243051374853,50.93997461795252,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:10~15,44,99,606.4791058198467,600.4143147616483,50.0145124196453,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:15~20,44,99,595.7252188753209,589.7679666865678,49.127671624991095,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:20~25,44,99,587.3830976845862,581.5092667077404,48.43972191675477,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:25~30,44,99,580.9188751889883,575.1096864370984,47.90663688021029,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:30~35,44,99,574.7561408497799,569.008579441282,47.39841466745879,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:35~40,44,99,596.6109118157482,590.6448026975906,49.2007120647093,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:40~45,44,99,664.970471935675,658.3207672163182,54.83811990911931,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:45~50,44,99,699.9981158734993,692.9981347147643,57.72674462173987,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:50~55,44,99,672.9900706357696,666.2601699294119,55.49947215512001,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 10:55~60,44,99,665.3010672420189,658.6480565695987,54.86538311224757,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:0~5,44,99,692.3611387878735,685.4375273999948,57.09694603241957,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:5~10,44,99,706.8231548433516,699.7549232949181,58.289585110466675,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:10~15,44,99,708.0178178593005,700.9376396807075,58.38810538540294,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:15~20,44,99,717.7384440136384,710.561059573502,59.189736262472714,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:20~25,44,99,748.4281472471877,740.9438657747157,61.72062401903382,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:25~30,44,99,771.6615740865312,763.9449583456659,63.636615030193965,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:30~35,44,99,785.2150339281148,777.3628835888337,64.75432820294985,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:35~40,44,100,797.8622988273041,789.8836758390311,65.79731019739128,0.0,54.294384888799996,651.793336,445.28,156.513336,0.0
Day1 11:40~45,44,100,801.7511689014493,793.7336572124348,66.11801364579581,0.0,63.194368257311105,758.6358734371081,529.92,169.556114,9.159759437108177
Day1 11:45~50,48,99,803.8587228108003,795.8201355826923,66.29181729403827,0.0,71.9444316647111,863.6786514371081,621.92,182.598892,9.159759437108177
Day1 11:50~55,52,99,803.3377907942153,795.3044128862731,66.24885759342655,0.0,83.4725500721111,1002.0714294371081,747.27,195.64167,9.159759437108177
Day1 11:55~60,57,98,815.7934496898556,807.6355151929571,67.27603841557332,0.0,97.8080898480222,1174.1667448742162,884.1199999999999,221.727226,18.319518874216353
Day1 12:0~5,62,98,849.6402515558879,841.143849040329,70.0672826250594,0.0,113.07556529431112,1357.4497634371082,1063.52,234.770004,9.159759437108177
Day1 12:5~10,68,96,870.5121472525074,861.8070257799823,71.78852524747252,0.0,132.3349680702222,1588.655078874216,1259.4799999999998,260.85556,18.319518874216353
Day1 12:10~15,74,95,872.7452634212406,864.0178107870281,71.97268363855945,0.0,155.29540988502222,1864.2906348742165,1509.03,286.941116,18.319518874216353
Day1 12:15~20,81,93,873.916063331397,865.176902698083,72.06923599475031,0.0,183.52457669982223,2203.1761908742164,1821.83,313.026672,18.319518874216353
Day1 12:20~25,89,90,874.9999800996577,866.2499802986612,72.15862335887847,0.0,214.2060955146222,2571.501746874216,2164.0699999999997,339.112228,18.319518874216353
Day1 12:25~30,97,86,875.960870922238,867.2012622130156,72.2378651423442,0.0,253.23198669793328,3039.999840311324,2584.2799999999997,378.240562,27.479278311324535
Day1 12:30~35,106,82,875.3321206101098,866.5787994040087,72.18601399035393,0.0,299.0243569201333,3589.728174311324,3094.8799999999997,417.368896,27.479278311324535
Day1 12:35~40,116,77,875.3332956595629,866.5799627029671,72.18611089315716,0.0,316.6709004053111,3801.571433437108,3311.9999999999995,430.411674,9.159759437108177
Day1 12:40~45,120,72,874.6054528899591,865.8593983610596,72.12608788347626,0.0,315.90789244419994,3792.4116739999995,3311.9999999999995,430.411674,0.0
Day1 12:45~50,120,67,872.814378549869,864.0862347643704,71.97838335587205,0.0,315.90789244419994,3792.4116739999995,3311.9999999999995,430.411674,0.0
Day1 12:50~55,120,62,870.8232450738636,862.115012623125,71.81418055150631,0.0,315.90789244419994,3792.4116739999995,3311.9999999999995,430.411674,0.0
Day1 12:55~60,120,58,868.6254804035092,859.939225599474,71.63293749243618,0.0,315.90789244419994,3792.4116739999995,3311.9999999999995,430.411674,0.0
