PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,30.9,-89,9,23.3,328,485,390,718,706,841,48.6,63.9,0,1012.2,291,3.6,36,0.1
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,31,-89,10.2,23.3,348,459,374,722,710,832,48.6,63.6,0,1012.2,291,3.6,35,0.1
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,31,-89,13.2,23.3,390,387,320,710,699,799,48.6,63.4,0,1012.2,291,3.6,34,0.1
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,31.1,-89,16,23.2,428,322,270,699,689,770,48.6,63.1,0,1012.1,291,3.6,33,0.1
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,31.1,-88,18.5,23.2,461,268,228,689,680,745,48.5,62.9,0,1012.1,291,3.6,32,0.1
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,31.2,-88,20.8,23.2,490,220,190,680,671,723,48.5,62.7,0,1012.1,292,3.6,30,0.1
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,31.2,-88,22.8,23.2,515,181,157,672,664,705,48.4,62.4,0,1012.1,292,3.6,29,0.1
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,31.3,-87,20.8,23.2,493,233,207,700,692,736,48.3,62.3,0,1012,293,3.6,28,0.1
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,31.3,-87,12.8,23.2,401,424,380,781,771,838,48.2,62.1,0,1012,293,3.6,27,0.1
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,31.3,-86,9.8,23.1,373,493,445,817,806,880,48.1,61.9,0,1011.9,294,3.7,25,0.1
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,31.4,-86,14.3,23.1,439,382,347,786,775,831,47.9,61.7,0,1011.9,295,3.7,24,0.1
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,31.4,-86,16,23.1,466,340,313,779,769,816,47.8,61.5,0,1011.8,296,3.8,23,0.1
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,31.4,-85,13.5,23.1,437,403,374,811,801,849,47.7,61.4,0,1011.8,296,3.8,22,0.1
2021-10-20T01:40:00Z,2021-10-20T01:35:00Z,PT5M,31.5,-84,12.4,23.1,425,431,404,829,819,866,47.6,61.2,0,1011.7,297,3.8,21,0.1
2021-10-20T01:45:00Z,2021-10-20T01:40:00Z,PT5M,31.5,-84,13.4,23.1,443,408,384,827,817,858,47.4,61,0,1011.7,298,3.9,19,0.1
2021-10-20T01:50:00Z,2021-10-20T01:45:00Z,PT5M,31.5,-83,12.8,23,435,426,405,840,830,868,47.3,60.8,0,1011.6,298,3.9,18,0.1
2021-10-20T01:55:00Z,2021-10-20T01:50:00Z,PT5M,31.6,-82,9.8,23,391,507,485,876,865,904,47.2,60.6,0,1011.6,299,4,17,0.1
2021-10-20T02:00:00Z,2021-10-20T01:55:00Z,PT5M,31.6,-82,7.6,23,358,567,546,904,893,931,47.1,60.4,0,1011.5,299,4,16,0.1
2021-10-20T02:05:00Z,2021-10-20T02:00:00Z,PT5M,31.7,-81,6.6,23,342,597,578,920,909,943,47,60,0,1011.4,300,4.1,15,0.1
2021-10-20T02:10:00Z,2021-10-20T02:05:00Z,PT5M,31.8,-79,6,22.9,333,616,599,932,920,952,46.9,59.6,0,1011.4,300,4.1,13,0.1
2021-10-20T02:15:00Z,2021-10-20T02:10:00Z,PT5M,31.9,-78,6,22.9,334,617,603,937,926,954,46.8,59.1,0,1011.3,300,4.1,12,0.1
2021-10-20T02:20:00Z,2021-10-20T02:15:00Z,PT5M,32,-77,6.2,22.9,338,613,601,940,928,953,46.7,58.7,0,1011.2,300,4.2,11,0.1
2021-10-20T02:25:00Z,2021-10-20T02:20:00Z,PT5M,32.1,-75,6.7,22.8,348,600,591,939,928,949,46.6,58.2,0,1011.1,300,4.2,10,0.1
2021-10-20T02:30:00Z,2021-10-20T02:25:00Z,PT5M,32.2,-72,5.6,22.8,327,634,627,954,942,962,46.5,57.7,0,1011,300,4.3,9,0.1
2021-10-20T02:35:00Z,2021-10-20T02:30:00Z,PT5M,32.3,-69,2.1,22.8,258,740,734,992,980,999,46.4,57.2,0,1010.9,300,4.3,7,0.1
2021-10-20T02:40:00Z,2021-10-20T02:35:00Z,PT5M,32.4,-64,0,22.7,218,803,798,1016,1004,1021,46.3,56.8,0,1010.8,300,4.3,6,0.1
2021-10-20T02:45:00Z,2021-10-20T02:40:00Z,PT5M,32.5,-58,0,22.7,219,803,799,1018,1006,1021,46.2,56.3,0,1010.7,300,4.4,5,0.1
2021-10-20T02:50:00Z,2021-10-20T02:45:00Z,PT5M,32.6,-49,0,22.7,220,802,800,1020,1008,1022,46.1,55.9,0,1010.6,300,4.4,4,0.1
2021-10-20T02:55:00Z,2021-10-20T02:50:00Z,PT5M,32.7,-34,0,22.6,221,802,800,1021,1009,1022,46,55.4,0,1010.5,300,4.5,4,0.1
2021-10-20T03:00:00Z,2021-10-20T02:55:00Z,PT5M,32.8,-16,0,22.6,222,801,800,1021,1009,1022,45.9,55,0,1010.4,300,4.5,3,0.1
2021-10-20T03:05:00Z,2021-10-20T03:00:00Z,PT5M,32.9,9,0,22.6,222,800,799,1021,1009,1022,45.9,54.8,0,1010.3,300,4.5,3,0.1
2021-10-20T03:10:00Z,2021-10-20T03:05:00Z,PT5M,32.9,29,0,22.6,223,799,798,1021,1009,1021,45.8,54.7,0,1010.3,300,4.6,3,0.1
2021-10-20T03:15:00Z,2021-10-20T03:10:00Z,PT5M,32.9,44,0,22.6,224,798,796,1020,1008,1021,45.7,54.6,0,1010.2,300,4.6,4,0.1
2021-10-20T03:20:00Z,2021-10-20T03:15:00Z,PT5M,32.9,56,0,22.6,224,797,794,1018,1006,1020,45.6,54.6,0,1010.1,300,4.6,5,0.1
2021-10-20T03:25:00Z,2021-10-20T03:20:00Z,PT5M,32.9,63,0,22.6,225,795,791,1016,1004,1020,45.5,54.5,0,1010,300,4.7,6,0.1
