PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,33.8,-86,0,18.9,183,778,636,819,805,983,40,41.3,0,995.8,303,4.3,35,0.15
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,34,-86,0,18.8,185,782,648,833,820,987,40.1,40.9,0,995.8,303,4.3,34,0.15
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,34.1,-85,0,18.8,186,785,660,847,834,991,40.1,40.4,0,995.8,303,4.3,33,0.15
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,34.3,-85,0,18.7,188,788,672,860,847,994,40.2,39.9,0,995.7,303,4.2,32,0.15
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,34.4,-84,0,18.7,189,792,683,873,860,997,40.2,39.5,0,995.7,303,4.2,30,0.15
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,34.6,-84,0,18.6,191,795,694,885,873,1000,40.3,39,0,995.7,303,4.1,29,0.15
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,34.7,-83,0,18.6,192,797,704,897,885,1003,40.3,38.6,0,995.6,303,4.1,28,0.15
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,34.9,-83,0,18.6,194,800,715,908,897,1006,40.4,38.2,0,995.6,302,4.1,27,0.15
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,35,-82,0,18.5,195,803,724,919,908,1008,40.4,37.8,0,995.5,302,4,26,0.15
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,35.2,-82,0,18.5,196,805,733,930,918,1010,40.4,37.4,0,995.4,302,4,24,0.15
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,35.3,-81,0,18.4,197,807,742,939,929,1013,40.4,37,0,995.4,302,4,23,0.15
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,35.5,-80,0,18.4,198,809,751,949,938,1015,40.4,36.6,0,995.3,302,4,22,0.15
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,35.6,-79,0,18.3,200,811,758,958,947,1017,40.4,36.3,0,995.3,302,3.9,21,0.15
2021-10-20T01:40:00Z,2021-10-20T01:35:00Z,PT5M,35.7,-78,0,18.3,201,813,766,966,956,1018,40.4,35.9,0,995.2,302,3.9,20,0.15
