PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,36,-83,0,16.1,208,750,619,827,816,979,38.8,30.8,0,985.8,278,5.2,34,0.15
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,36.2,-83,0,16,210,753,631,841,830,983,38.7,30.3,0,985.8,278,5.2,33,0.15
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,36.4,-82,0,15.9,212,756,642,854,844,987,38.7,29.8,0,985.7,279,5.1,32,0.15
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,36.6,-82,0,15.9,214,759,653,867,857,990,38.6,29.4,0,985.6,279,5.1,31,0.15
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,36.8,-81,0,15.8,216,762,663,879,870,993,38.6,28.9,0,985.6,279,5,29,0.15
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,36.9,-80,0,15.7,218,765,673,891,882,996,38.5,28.5,0,985.5,279,5,28,0.15
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,37.1,-79,0,15.7,220,767,683,903,893,999,38.5,28.1,0,985.4,280,4.9,27,0.15
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,37.2,-79,0,15.6,222,769,692,914,905,1002,38.5,27.8,0,985.4,280,4.9,26,0.15
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,37.4,-78,0,15.5,224,771,700,924,915,1004,38.5,27.5,0,985.3,280,4.8,25,0.15
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,37.5,-77,0,15.5,225,773,708,934,926,1006,38.5,27.2,0,985.2,280,4.8,24,0.15
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,37.6,-76,0,15.4,227,775,716,943,935,1008,38.5,26.9,0,985.1,281,4.8,22,0.15
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,37.8,-75,0,15.3,229,776,723,952,944,1010,38.5,26.6,0,985,281,4.7,21,0.15
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,37.9,-73,0,15.3,231,776,729,960,953,1012,38.5,26.3,0,984.9,281,4.7,20,0.15
2021-10-20T01:40:00Z,2021-10-20T01:35:00Z,PT5M,38,-72,0,15.2,234,776,734,968,961,1013,38.5,26,0,984.9,281,4.7,19,0.15
2021-10-20T01:45:00Z,2021-10-20T01:40:00Z,PT5M,38.2,-71,0,15.2,237,776,738,975,968,1014,38.5,25.7,0,984.8,282,4.6,18,0.15
2021-10-20T01:50:00Z,2021-10-20T01:45:00Z,PT5M,38.3,-69,0,15.1,239,775,742,981,975,1015,38.6,25.4,0,984.7,282,4.6,17,0.15
2021-10-20T01:55:00Z,2021-10-20T01:50:00Z,PT5M,38.4,-67,0,15,242,774,745,987,981,1016,38.6,25.2,0,984.6,282,4.6,16,0.15
2021-10-20T02:00:00Z,2021-10-20T01:55:00Z,PT5M,38.6,-65,0,15,244,773,748,993,986,1017,38.6,24.9,0,984.5,282,4.5,15,0.15
