PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,37.2,-78,0,11.2,150,863,715,865,861,1026,29,21.1,0,972,337,6.2,34,0.18
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,37.3,-77,0,11.1,151,866,727,878,875,1028,28.9,20.7,0,972,335,6.3,33,0.18
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,37.5,-76,0,11,152,869,739,891,889,1031,28.9,20.3,0,971.9,333,6.4,32,0.18
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,37.7,-75,0,10.9,153,872,751,904,902,1033,28.9,20,0,971.9,332,6.4,31,0.18
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,37.9,-74,0,10.8,154,875,762,916,915,1035,28.9,19.6,0,971.8,330,6.5,29,0.18
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,38,-73,0,10.7,155,878,773,928,927,1037,28.9,19.3,0,971.7,329,6.6,28,0.18
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,38.1,-72,0,10.5,156,881,783,939,939,1039,28.8,19,0,971.7,327,6.6,27,0.18
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,38.3,-71,0,10.4,156,884,793,950,950,1041,28.8,18.7,0,971.6,326,6.6,26,0.18
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,38.4,-70,0,10.2,157,886,803,960,961,1043,28.7,18.4,0,971.5,325,6.5,25,0.18
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,38.5,-69,0,10.1,158,889,812,970,972,1045,28.6,18.2,0,971.4,323,6.4,24,0.18
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,38.6,-67,0,10,158,891,821,979,981,1046,28.5,17.9,0,971.3,322,6.3,23,0.18
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,38.7,-66,0,9.8,159,893,830,988,991,1048,28.4,17.6,0,971.2,321,6.2,22,0.18
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,38.8,-64,0,9.7,159,895,838,997,1000,1049,28.3,17.3,0,971.1,319,6.2,21,0.18
2021-10-20T01:40:00Z,2021-10-20T01:35:00Z,PT5M,38.9,-62,0,9.5,159,897,845,1005,1008,1051,28.2,17.1,0,971,318,6.1,20,0.18
2021-10-20T01:45:00Z,2021-10-20T01:40:00Z,PT5M,39,-60,0,9.4,160,900,853,1012,1016,1052,28.1,16.8,0,971,317,6,19,0.18
2021-10-20T01:50:00Z,2021-10-20T01:45:00Z,PT5M,39.1,-58,0,9.2,160,902,859,1019,1023,1053,28,16.6,0,970.9,315,6,18,0.18
2021-10-20T01:55:00Z,2021-10-20T01:50:00Z,PT5M,39.2,-55,0,9.1,160,903,866,1026,1030,1054,27.9,16.3,0,970.8,314,5.9,17,0.18
2021-10-20T02:00:00Z,2021-10-20T01:55:00Z,PT5M,39.4,-52,0,9,160,905,872,1032,1037,1055,27.8,16.1,0,970.7,312,5.9,16,0.18
2021-10-20T02:05:00Z,2021-10-20T02:00:00Z,PT5M,39.4,-49,0,8.8,160,907,877,1037,1042,1056,27.7,15.8,0,970.6,310,5.8,15,0.18
2021-10-20T02:10:00Z,2021-10-20T02:05:00Z,PT5M,39.5,-45,0,8.7,160,908,882,1042,1047,1057,27.6,15.6,0,970.5,309,5.7,14,0.18
2021-10-20T02:15:00Z,2021-10-20T02:10:00Z,PT5M,39.6,-41,0,8.6,160,910,886,1046,1052,1058,27.5,15.4,0,970.4,307,5.6,13,0.18
2021-10-20T02:20:00Z,2021-10-20T02:15:00Z,PT5M,39.7,-37,0,8.5,160,911,890,1050,1056,1059,27.4,15.3,0,970.3,305,5.4,12,0.18
2021-10-20T02:25:00Z,2021-10-20T02:20:00Z,PT5M,39.7,-32,0,8.3,160,912,893,1053,1059,1059,27.3,15.1,0,970.2,303,5.3,12,0.18
2021-10-20T02:30:00Z,2021-10-20T02:25:00Z,PT5M,39.8,-26,0,8.2,160,913,896,1056,1062,1060,27.2,14.9,0,970.1,301,5.2,11,0.18
2021-10-20T02:35:00Z,2021-10-20T02:30:00Z,PT5M,39.9,-20,0,8.1,160,914,898,1058,1064,1061,27.1,14.7,0,970.1,299,5.1,11,0.18
2021-10-20T02:40:00Z,2021-10-20T02:35:00Z,PT5M,40,-14,0,8,160,915,900,1060,1066,1061,27,14.5,0,970,297,5.1,10,0.18
2021-10-20T02:45:00Z,2021-10-20T02:40:00Z,PT5M,40,-7,0,7.8,159,916,902,1061,1067,1061,26.9,14.3,0,969.9,295,5,10,0.18
2021-10-20T02:50:00Z,2021-10-20T02:45:00Z,PT5M,40.1,0,0,7.7,159,916,903,1062,1068,1062,26.8,14.2,0,969.8,292,4.9,10,0.18
2021-10-20T02:55:00Z,2021-10-20T02:50:00Z,PT5M,40.2,7,0,7.6,159,917,903,1061,1068,1062,26.7,14,0,969.7,290,4.9,10,0.18
2021-10-20T03:00:00Z,2021-10-20T02:55:00Z,PT5M,40.3,14,0,7.5,158,917,903,1061,1067,1062,26.6,13.8,0,969.6,288,4.8,10,0.18
2021-10-20T03:05:00Z,2021-10-20T03:00:00Z,PT5M,40.3,21,0,7.3,158,918,902,1060,1066,1062,26.6,13.6,0,969.5,286,4.7,11,0.18
