PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,35.3,-76,0,10.4,114,914,752,867,868,1035,27.1,22.1,0,955.6,6,4.7,35,0.18
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,35.4,-75,0,10.4,115,917,765,880,882,1037,27.1,21.9,0,955.6,4,4.5,34,0.18
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,35.5,-74,0,10.3,116,920,777,893,896,1039,27.1,21.7,0,955.5,1,4.4,32,0.18
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,35.6,-73,0,10.2,117,923,789,906,909,1041,27,21.4,0,955.5,358,4.2,31,0.18
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,35.7,-72,0,10.2,117,926,800,918,922,1043,27,21.2,0,955.5,356,4.1,30,0.18
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,35.8,-71,0,10.1,118,928,812,929,935,1044,27,21,0,955.4,353,4,29,0.18
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,35.9,-69,0,10,118,931,822,940,946,1046,27,20.8,0,955.4,350,3.8,28,0.18
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,36,-68,0,10,119,933,832,951,958,1047,27,20.5,0,955.3,348,3.6,27,0.18
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,36.1,-67,0,9.9,119,935,842,961,969,1048,27,20.3,0,955.2,346,3.4,26,0.18
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,36.2,-65,0,9.8,120,937,851,971,979,1050,26.9,20.1,0,955.2,343,3.2,25,0.18
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,36.3,-64,0,9.7,120,939,860,980,989,1051,26.9,19.9,0,955.1,340,3,24,0.18
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,36.4,-62,0,9.6,121,941,869,989,998,1052,26.9,19.6,0,955,337,2.9,23,0.18
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,36.5,-60,0,9.5,121,943,876,997,1007,1053,26.9,19.4,0,955,333,2.7,22,0.18
2021-10-20T01:40:00Z,2021-10-20T01:35:00Z,PT5M,36.6,-58,0,9.4,121,944,884,1005,1015,1054,26.9,19.2,0,954.9,329,2.5,21,0.18
2021-10-20T01:45:00Z,2021-10-20T01:40:00Z,PT5M,36.7,-56,0,9.3,122,946,891,1012,1023,1054,26.9,19,0,954.8,325,2.4,20,0.18
2021-10-20T01:50:00Z,2021-10-20T01:45:00Z,PT5M,36.8,-54,0,9.2,122,947,897,1019,1030,1055,26.8,18.8,0,954.8,320,2.3,19,0.18
2021-10-20T01:55:00Z,2021-10-20T01:50:00Z,PT5M,36.9,-51,0,9.1,122,948,903,1025,1037,1056,26.8,18.6,0,954.7,314,2.2,18,0.18
2021-10-20T02:00:00Z,2021-10-20T01:55:00Z,PT5M,37,-48,0,9,123,949,909,1031,1043,1056,26.8,18.4,0,954.6,308,2.1,17,0.18
2021-10-20T02:05:00Z,2021-10-20T02:00:00Z,PT5M,37.1,-45,0,8.9,123,951,913,1036,1049,1057,26.8,18.1,0,954.6,302,2,16,0.18
2021-10-20T02:10:00Z,2021-10-20T02:05:00Z,PT5M,37.2,-42,0,8.8,123,951,918,1041,1054,1057,26.7,17.9,0,954.5,295,2,15,0.18
2021-10-20T02:15:00Z,2021-10-20T02:10:00Z,PT5M,37.3,-38,0,8.7,123,952,922,1045,1058,1058,26.7,17.7,0,954.4,289,2,15,0.18
2021-10-20T02:20:00Z,2021-10-20T02:15:00Z,PT5M,37.4,-33,0,8.6,123,953,925,1049,1062,1058,26.7,17.4,0,954.3,282,2,14,0.18
2021-10-20T02:25:00Z,2021-10-20T02:20:00Z,PT5M,37.5,-29,0,8.5,123,954,928,1052,1065,1059,26.6,17.2,0,954.3,276,2,13,0.18
2021-10-20T02:30:00Z,2021-10-20T02:25:00Z,PT5M,37.6,-24,0,8.4,124,954,931,1055,1068,1059,26.6,17,0,954.2,270,2,13,0.18
2021-10-20T02:35:00Z,2021-10-20T02:30:00Z,PT5M,37.7,-18,0,8.3,124,955,933,1056,1070,1059,26.6,16.8,0,954.1,264,2.1,12,0.18
2021-10-20T02:40:00Z,2021-10-20T02:35:00Z,PT5M,37.8,-13,0,8.2,124,955,934,1058,1072,1059,26.5,16.5,0,954,258,2.2,12,0.18
2021-10-20T02:45:00Z,2021-10-20T02:40:00Z,PT5M,37.9,-7,0,8.1,124,955,935,1059,1073,1059,26.5,16.3,0,954,253,2.3,12,0.18
2021-10-20T02:50:00Z,2021-10-20T02:45:00Z,PT5M,38,-1,0,8,124,955,936,1059,1073,1060,26.5,16.1,0,953.9,249,2.4,12,0.18
2021-10-20T02:55:00Z,2021-10-20T02:50:00Z,PT5M,38.1,5,0,7.9,124,955,935,1059,1073,1060,26.4,15.9,0,953.8,245,2.6,12,0.18
2021-10-20T03:00:00Z,2021-10-20T02:55:00Z,PT5M,38.3,11,0,7.7,124,955,935,1059,1072,1060,26.4,15.7,0,953.7,241,2.7,12,0.18
2021-10-20T03:05:00Z,2021-10-20T03:00:00Z,PT5M,38.3,17,0,7.6,124,955,934,1057,1071,1060,26.4,15.5,0,953.6,239,2.8,12,0.18
2021-10-20T03:10:00Z,2021-10-20T03:05:00Z,PT5M,38.4,22,0,7.6,124,955,932,1056,1069,1060,26.3,15.3,0,953.5,238,2.9,13,0.18
2021-10-20T03:15:00Z,2021-10-20T03:10:00Z,PT5M,38.5,27,0,7.5,123,955,930,1054,1067,1060,26.2,15.2,0,953.4,236,3,13,0.18
2021-10-20T03:20:00Z,2021-10-20T03:15:00Z,PT5M,38.6,32,1.4,7.4,152,909,883,1036,1048,1044,26.2,15,0,953.3,235,3,14,0.18
2021-10-20T03:25:00Z,2021-10-20T03:20:00Z,PT5M,38.6,36,7.2,7.3,268,726,704,972,980,981,26.1,14.9,0,953.2,234,3.1,14,0.18
2021-10-20T03:30:00Z,2021-10-20T03:25:00Z,PT5M,38.7,40,11.8,7.2,360,581,561,921,926,932,26.1,14.7,0,953.1,233,3.2,15,0.18
2021-10-20T03:35:00Z,2021-10-20T03:30:00Z,PT5M,38.8,44,12,7.1,364,573,551,915,919,928,26,14.6,0,953,232,3.3,16,0.18
2021-10-20T03:40:00Z,2021-10-20T03:35:00Z,PT5M,38.9,47,13.2,7,380,541,518,898,902,914,26,14.4,0,952.9,231,3.3,17,0.18
2021-10-20T03:45:00Z,2021-10-20T03:40:00Z,PT5M,38.9,50,18,6.9,448,415,396,844,843,859,25.9,14.3,0,952.8,230,3.4,17,0.18
2021-10-20T03:50:00Z,2021-10-20T03:45:00Z,PT5M,39,53,21.1,6.8,492,333,316,807,804,823,25.8,14.1,0,952.7,229,3.5,18,0.18
2021-10-20T03:55:00Z,2021-10-20T03:50:00Z,PT5M,39.1,55,18.4,6.7,453,399,376,829,828,851,25.8,14,0,952.6,228,3.6,19,0.18
2021-10-20T04:00:00Z,2021-10-20T03:55:00Z,PT5M,39.2,58,18.5,6.6,444,404,379,823,822,846,25.7,13.8,0,952.4,228,3.6,20,0.18
2021-10-20T04:05:00Z,2021-10-20T04:00:00Z,PT5M,39.2,60,28,6.6,535,200,187,722,714,734,25.7,13.7,0,952.3,227,3.6,21,0.18
2021-10-20T04:10:00Z,2021-10-20T04:05:00Z,PT5M,39.3,62,37.8,6.5,589,33,30,619,605,622,25.6,13.6,0,952.3,227,3.6,22,0.18
2021-10-20T04:15:00Z,2021-10-20T04:10:00Z,PT5M,39.3,63,46.8,6.4,515,11,10,525,512,526,25.5,13.6,0,952.2,227,3.6,23,0.18
2021-10-20T04:20:00Z,2021-10-20T04:15:00Z,PT5M,39.3,65,55.9,6.4,431,1,1,431,420,431,25.5,13.5,0,952.1,227,3.6,24,0.18
2021-10-20T04:25:00Z,2021-10-20T04:20:00Z,PT5M,39.4,66,65.4,6.3,336,0,0,336,327,336,25.4,13.4,0,952,227,3.6,25,0.18
2021-10-20T04:30:00Z,2021-10-20T04:25:00Z,PT5M,39.4,68,74.4,6.2,245,0,0,245,239,245,25.4,13.3,0,951.9,227,3.5,27,0.18
2021-10-20T04:35:00Z,2021-10-20T04:30:00Z,PT5M,39.4,69,82,6.2,171,0,0,171,167,171,25.3,13.2,0,951.8,227,3.5,28,0.18
2021-10-20T04:40:00Z,2021-10-20T04:35:00Z,PT5M,39.5,70,81.5,6.1,170,3,2,172,168,173,25.3,13.1,0,951.7,227,3.5,29,0.18
2021-10-20T04:45:00Z,2021-10-20T04:40:00Z,PT5M,39.5,71,56.8,6,385,14,12,397,387,399,25.2,13,0,951.6,227,3.5,30,0.18
