PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,35.3,-72,0,9.2,109,920,751,860,869,1031,25.9,20.3,0,940.7,343,7.4,35,0.16
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,35.4,-71,0,9.1,110,923,762,873,883,1032,25.9,20,0,940.7,341,7.3,34,0.16
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,35.6,-70,0,9,111,925,774,885,896,1034,26,19.8,0,940.7,340,7.2,33,0.16
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,35.7,-69,0,9,112,928,786,898,910,1035,26,19.6,0,940.6,338,7.1,32,0.16
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,35.8,-68,0,8.9,113,930,797,909,922,1036,26,19.4,0,940.6,336,7,31,0.16
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,35.9,-67,0,8.8,114,932,807,921,935,1038,26.1,19.1,0,940.6,334,6.9,30,0.16
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,36,-66,0,8.7,114,934,817,932,946,1039,26.1,18.9,0,940.5,332,6.7,29,0.16
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,36.1,-64,0,8.7,115,936,827,942,958,1040,26.1,18.7,0,940.5,330,6.6,28,0.16
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,36.2,-63,0,8.6,116,938,836,952,969,1041,26.1,18.6,0,940.4,328,6.4,27,0.16
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,36.3,-61,0,8.5,116,940,845,962,979,1041,26.2,18.4,0,940.4,326,6.3,26,0.16
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,36.4,-59,0,8.4,117,941,854,971,989,1042,26.2,18.2,0,940.3,324,6.1,25,0.16
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,36.5,-58,0,8.3,117,943,862,979,998,1043,26.2,18,0,940.2,321,6,24,0.16
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,36.6,-56,0,8.2,118,944,869,987,1007,1044,26.2,17.8,0,940.2,319,5.9,23,0.16
2021-10-20T01:40:00Z,2021-10-20T01:35:00Z,PT5M,36.6,-53,0,8.2,118,945,876,995,1015,1044,26.2,17.6,0,940.1,316,5.8,22,0.16
2021-10-20T01:45:00Z,2021-10-20T01:40:00Z,PT5M,36.7,-51,0,8.1,119,946,883,1002,1023,1045,26.2,17.4,0,940,314,5.7,21,0.16
2021-10-20T01:50:00Z,2021-10-20T01:45:00Z,PT5M,36.8,-49,0,8,119,948,889,1008,1030,1045,26.3,17.3,0,940,311,5.6,20,0.16
2021-10-20T01:55:00Z,2021-10-20T01:50:00Z,PT5M,36.9,-46,0,7.9,120,948,895,1014,1036,1045,26.3,17.1,0,939.9,309,5.5,19,0.16
2021-10-20T02:00:00Z,2021-10-20T01:55:00Z,PT5M,37,-43,0,7.8,120,949,900,1020,1042,1046,26.3,16.9,0,939.8,306,5.5,19,0.16
2021-10-20T02:05:00Z,2021-10-20T02:00:00Z,PT5M,37,-40,0,7.7,121,950,904,1025,1048,1046,26.3,16.7,0,939.8,304,5.4,18,0.16
