PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,34.3,-70,0,9.5,99,938,753,852,870,1032,26.4,22,0,953.4,10,9.2,37,0.19
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,34.4,-69,0,9.5,99,940,766,865,884,1033,26.5,21.8,0,953.3,8,9.1,35,0.19
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,34.6,-68,0,9.6,100,943,777,877,898,1034,26.5,21.6,0,953.3,7,9,34,0.19
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,34.8,-67,0,9.6,101,945,789,890,912,1035,26.6,21.4,0,953.3,5,8.9,33,0.19
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,35,-66,0,9.6,102,947,800,901,925,1036,26.6,21.2,0,953.2,3,8.8,32,0.19
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,35.2,-64,0,9.6,102,949,811,913,937,1037,26.7,21,0,953.2,2,8.6,31,0.19
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,35.4,-63,0,9.5,103,951,821,924,949,1038,26.7,20.7,0,953.1,360,8.4,30,0.19
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,35.5,-61,0,9.4,104,953,831,934,961,1038,26.7,20.3,0,953,358,8.2,29,0.19
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,35.7,-60,0,9.2,104,955,840,944,972,1039,26.7,19.9,0,952.9,356,8,28,0.19
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,35.8,-58,0,9.1,105,957,849,954,983,1040,26.7,19.5,0,952.9,353,7.8,27,0.19
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,36,-56,0,8.9,105,958,858,963,993,1040,26.7,19.2,0,952.8,351,7.6,26,0.19
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,36.2,-55,0,8.7,106,960,866,972,1002,1041,26.6,18.8,0,952.7,348,7.4,26,0.19
