PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,32,-65,0,0.7,161,837,672,833,868,991,24.2,13.6,0,987,23,15,37,0.23
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,32.1,-64,0,0.8,162,841,684,846,882,993,24.2,13.5,0,986.9,22,15,36,0.23
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,32.3,-62,0,0.8,162,845,696,858,895,995,24.2,13.4,0,986.8,22,15,35,0.23
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,32.5,-61,0,0.8,163,849,707,870,909,996,24.2,13.3,0,986.7,21,15.1,34,0.23
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,32.6,-59,0,0.9,164,852,717,881,921,998,24.1,13.2,0,986.6,21,15.1,33,0.23
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,32.8,-58,0,0.9,164,856,728,892,933,999,24.1,13.1,0,986.5,21,15.2,32,0.23
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,33,-56,0,1,165,859,737,902,945,1000,24.1,13,0,986.4,20,15.2,31,0.23
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,33.1,-55,0,1,165,862,747,912,956,1002,24,13,0,986.3,19,15.2,30,0.23
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,33.3,-53,0,1,166,865,756,922,967,1003,23.9,12.9,0,986.2,19,15.2,29,0.23
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,33.5,-51,0,1.1,166,868,765,931,977,1004,23.9,12.8,0,986.1,18,15.2,28,0.23
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,33.6,-49,0,1.1,166,870,773,939,987,1004,23.8,12.7,0,986,17,15.1,27,0.23
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,33.8,-47,0,1.1,167,873,781,947,996,1005,23.8,12.6,0,985.9,17,15.1,27,0.23
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,34,-45,0,1.2,167,875,788,955,1005,1006,23.7,12.5,0,985.8,16,15.1,26,0.23
2021-10-20T01:40:00Z,2021-10-20T01:35:00Z,PT5M,34.1,-43,0,1.2,168,877,795,962,1013,1006,23.7,12.4,0,985.7,15,15.1,25,0.23
2021-10-20T01:45:00Z,2021-10-20T01:40:00Z,PT5M,34.3,-40,0,1.2,168,879,801,969,1020,1007,23.6,12.4,0,985.6,15,15.2,24,0.23
2021-10-20T01:50:00Z,2021-10-20T01:45:00Z,PT5M,34.5,-38,0,1.3,168,880,807,975,1028,1008,23.6,12.3,0,985.5,14,15.2,24,0.23
2021-10-20T01:55:00Z,2021-10-20T01:50:00Z,PT5M,34.6,-35,0,1.3,169,882,812,981,1034,1008,23.5,12.2,0,985.4,13,15.2,23,0.23
2021-10-20T02:00:00Z,2021-10-20T01:55:00Z,PT5M,34.8,-32,0,1.3,169,883,817,986,1040,1008,23.5,12.1,0,985.4,12,15.2,22,0.23
