PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,27.4,-61,50,0.8,417,0,0,417,398,417,25.1,17.8,0,991.2,30,14.4,37,0.22
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,27.7,-60,52.9,0.7,393,8,6,399,382,401,25.1,17.3,0,991.1,29,14.6,36,0.22
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,28,-59,41.7,0.6,448,64,53,501,488,513,25,16.9,0,991,29,14.8,35,0.22
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,28.4,-57,31.5,0.5,501,112,93,594,584,614,25,16.5,0,990.9,29,15,34,0.22
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,28.7,-56,42.1,0.4,454,64,53,506,493,518,25,16.1,0,990.8,29,15.1,33,0.22
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,29,-54,53.2,0.3,408,8,6,415,397,416,25,15.7,0,990.7,28,15.3,32,0.22
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,29.2,-52,47,0.3,474,0,0,474,452,474,25,15.4,0,990.6,28,15.3,31,0.22
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,29.4,-51,37,0.3,525,50,44,569,549,573,25,15.2,0,990.5,27,15.3,30,0.22
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,29.6,-49,19.4,0.3,370,416,365,735,751,768,25,15.1,0,990.4,26,15.3,30,0.22
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,29.9,-47,2.8,0.3,206,782,686,892,945,952,25,14.9,0,990.4,25,15.3,29,0.22
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,30.1,-45,0.5,0.3,186,830,733,919,978,977,25,14.7,0,990.3,24,15.3,28,0.22
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,30.3,-43,0.5,0.4,190,827,735,925,985,976,25,14.6,0,990.2,24,15.2,27,0.22
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,30.5,-41,0.6,0.4,197,820,733,930,990,974,24.9,14.4,0,990.2,23,15.2,27,0.22
