PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-10-20T00:35:00Z,2021-10-20T00:30:00Z,PT5M,27.4,-57,17.8,0.1,388,378,306,694,712,765,24.3,16.9,0,1002.7,40,6.8,36,0.17
2021-10-20T00:40:00Z,2021-10-20T00:35:00Z,PT5M,27.6,-56,17.8,0.2,391,381,312,703,723,769,24.4,16.7,0,1002.6,39,6.9,35,0.17
2021-10-20T00:45:00Z,2021-10-20T00:40:00Z,PT5M,27.9,-54,17.1,0.2,387,399,330,717,739,780,24.4,16.5,0,1002.5,38,6.9,34,0.17
2021-10-20T00:50:00Z,2021-10-20T00:45:00Z,PT5M,28.1,-53,16,0.2,376,430,360,736,762,797,24.5,16.3,0,1002.3,37,7,33,0.17
2021-10-20T00:55:00Z,2021-10-20T00:50:00Z,PT5M,28.3,-51,12.2,0.2,325,535,452,777,814,843,24.5,16.1,0,1002.2,37,7,33,0.17
2021-10-20T01:00:00Z,2021-10-20T00:55:00Z,PT5M,28.6,-49,8.1,0.2,266,653,556,822,870,893,24.5,15.9,0,1002.1,36,7.1,32,0.17
2021-10-20T01:05:00Z,2021-10-20T01:00:00Z,PT5M,28.8,-48,4,0.2,196,781,671,867,925,938,24.6,15.8,0,1002.1,34,7.2,31,0.17
2021-10-20T01:10:00Z,2021-10-20T01:05:00Z,PT5M,29,-46,0.6,0.3,136,889,769,905,973,976,24.6,15.6,0,1002,33,7.3,30,0.17
2021-10-20T01:15:00Z,2021-10-20T01:10:00Z,PT5M,29.1,-44,1.2,0.3,149,871,758,907,975,970,24.6,15.4,0,1001.9,31,7.3,29,0.17
2021-10-20T01:20:00Z,2021-10-20T01:15:00Z,PT5M,29.3,-42,2.2,0.3,168,842,738,906,973,960,24.6,15.3,0,1001.8,30,7.5,29,0.17
2021-10-20T01:25:00Z,2021-10-20T01:20:00Z,PT5M,29.5,-39,1.2,0.3,149,874,772,921,991,969,24.7,15.1,0,1001.7,28,7.6,28,0.17
2021-10-20T01:30:00Z,2021-10-20T01:25:00Z,PT5M,29.7,-37,0.2,0.3,129,910,808,937,1010,980,24.7,15,0,1001.6,27,7.7,27,0.17
2021-10-20T01:35:00Z,2021-10-20T01:30:00Z,PT5M,29.9,-35,0.4,0.3,133,905,808,941,1015,978,24.7,14.8,0,1001.5,26,7.8,27,0.17
2021-10-20T01:40:00Z,2021-10-20T01:35:00Z,PT5M,30.1,-32,0.7,0.3,140,895,804,944,1018,975,24.7,14.7,0,1001.5,24,7.9,26,0.17
2021-10-20T01:45:00Z,2021-10-20T01:40:00Z,PT5M,30.3,-30,0.7,0.3,141,896,808,949,1024,974,24.8,14.5,0,1001.4,23,8,26,0.17
2021-10-20T01:50:00Z,2021-10-20T01:45:00Z,PT5M,30.4,-27,0.8,0.3,143,893,809,952,1028,973,24.8,14.4,0,1001.3,22,8.2,25,0.17
2021-10-20T01:55:00Z,2021-10-20T01:50:00Z,PT5M,30.6,-25,1.7,0.3,163,863,784,947,1021,964,24.8,14.2,0,1001.2,21,8.3,25,0.17
2021-10-20T02:00:00Z,2021-10-20T01:55:00Z,PT5M,30.8,-22,5.6,0.3,199,783,714,913,980,925,24.8,14.1,0,1001.1,19,8.4,24,0.17
2021-10-20T02:05:00Z,2021-10-20T02:00:00Z,PT5M,30.9,-19,27.6,0.3,324,414,378,702,726,708,24.9,14,0,1001,19,8.5,24,0.17
2021-10-20T02:10:00Z,2021-10-20T02:05:00Z,PT5M,31,-16,49.1,0.3,450,50,45,495,476,496,24.9,13.9,0,1001,18,8.6,24,0.17
